Donor	PathwayID	PathwayName	Source	QValue
Donor 1	SMP00037	Lysine degradation	HMDB	0.031
Donor 1	map00562	Inositol phosphate metabolism	KEGG	0.046
Donor 2	SMP00016	Propanoate metabolism	HMDB	0.0071
Donor 2	SMP00020	Arginine and proline metabolism	HMDB	0.021
Donor 2	SMP00450	Phytanic acid peroxisomal oxidation	HMDB	0.034
