Donor	Evidence	ReferenceOnly	Shared	MAGOnly	ReferenceTotal	MAGTotal	Union	Jaccard
Donor 1	Predicted	25	1475	68	1500	1543	1568	0.9406887755102041
Donor 2	Predicted	32	1530	49	1562	1579	1611	0.9497206703910615
Donor 1	Confirmed	3	180	5	183	185	188	0.9574468085106383
Donor 2	Confirmed	4	176	4	180	180	184	0.9565217391304348
