Donor	Models	Metric	SpearmanRho	PValueNotReported	Interpretation
Donor 1	34	CompoundsBeforeGapfill	0.021139769378968207	True	Range-restricted, selected MAG set; descriptive association only
Donor 1	34	GapfillAddedCompounds	-0.07143406905402715	True	Range-restricted, selected MAG set; descriptive association only
Donor 1	34	BlockedReactionPercent	0.21153471864793558	True	Range-restricted, selected MAG set; descriptive association only
Donor 2	37	CompoundsBeforeGapfill	-0.029423986919098314	True	Range-restricted, selected MAG set; descriptive association only
Donor 2	36	GapfillAddedCompounds	-0.19956196856480285	True	Range-restricted, selected MAG set; descriptive association only
Donor 2	37	BlockedReactionPercent	-0.17926213323634108	True	Range-restricted, selected MAG set; descriptive association only
