Donor	MAGs	PaperHigh	PaperMedium	NormalizedInput	SpeciesResolved	CompletenessMedian	CompletenessMinimum	ContaminationMedian	ContaminationMaximum
Donor 1	86	56	30	34	84	93.91499999999999	76.56	0.63	2.66
Donor 2	84	67	17	37	82	96.06	75.55	0.61	3.49
