Module step	Module	KO id	Module Category	SGB_001 Module step presence	SGB_002 Module step presence	SGB_003 Module step presence	SGB_004 Module step presence	SGB_005 Module step presence	SGB_006 Module step presence	SGB_007 Module step presence	SGB_008 Module step presence	SGB_009 Module step presence	SGB_010 Module step presence	SGB_011 Module step presence	SGB_012 Module step presence	SGB_013 Module step presence	SGB_014 Module step presence	SGB_015 Module step presence	SGB_016 Module step presence	SGB_017 Module step presence	SGB_018 Module step presence	SGB_019 Module step presence	SGB_020 Module step presence	SGB_021 Module step presence	SGB_022 Module step presence	SGB_023 Module step presence	SGB_024 Module step presence	TRUNC_050 Module step presence	TRUNC_070 Module step presence	TRUNC_090 Module step presence	TRUNC_100 Module step presence
M00057+01	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	K00771	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00057+02	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	K00733	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00057+03	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	K00734	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00057+04	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	K10158	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00058+01	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	K00746	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00058+02	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	(K13499 or K00747 or K03419)	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00059+01	Glycosaminoglycan biosynthesis, heparan sulfate backbone	(K02369 or K02370)	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00059+02	Glycosaminoglycan biosynthesis, heparan sulfate backbone	(K02366 or K02367)	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00059+03	Glycosaminoglycan biosynthesis, heparan sulfate backbone	(K02368 or K02370)	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00059+04	Glycosaminoglycan biosynthesis, heparan sulfate backbone	(K02576 or K02577 or K02578 or K02579)	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00059+05	Glycosaminoglycan biosynthesis, heparan sulfate backbone	K01793	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00060+01	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K00677	Lipopolysaccharide metabolism	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00060+02	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K02535	Lipopolysaccharide metabolism	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00060+03	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K02536	Lipopolysaccharide metabolism	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00060+04	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	(K03269 or K09949)	Lipopolysaccharide metabolism	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00060+05	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K00748	Lipopolysaccharide metabolism	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00060+06	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K00912	Lipopolysaccharide metabolism	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Present	Present	Present
M00060+07	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K02527	Lipopolysaccharide metabolism	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00060+08	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K02517	Lipopolysaccharide metabolism	Absent	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00060+09	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K02560	Lipopolysaccharide metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00061+01	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	K01812	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent
M00061+02	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	K00040	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00061+03	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	(K01686 or K08323)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent
M00061+04	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	K00874	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent
M00061+05	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	(K01625 or K17463)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent
M00063+01	CMP-KDO biosynthesis	K06041	Lipopolysaccharide metabolism	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00063+02	CMP-KDO biosynthesis	K01627	Lipopolysaccharide metabolism	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00063+03	CMP-KDO biosynthesis	K03270	Lipopolysaccharide metabolism	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00063+04	CMP-KDO biosynthesis	K00979	Lipopolysaccharide metabolism	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Present	Present	Present
M00064+01	ADP-L-glycero-D-manno-heptose biosynthesis	K03271	Lipopolysaccharide metabolism	Present	Absent	Absent	Present	Present	Present	Present	Absent	Absent	Present	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00064+02	ADP-L-glycero-D-manno-heptose biosynthesis	(K03272 or K21344)	Lipopolysaccharide metabolism	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00064+03	ADP-L-glycero-D-manno-heptose biosynthesis	K03273	Lipopolysaccharide metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Present
M00064+04	ADP-L-glycero-D-manno-heptose biosynthesis	(K03272 or K21345)	Lipopolysaccharide metabolism	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00064+05	ADP-L-glycero-D-manno-heptose biosynthesis	K03274	Lipopolysaccharide metabolism	Present	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00065+01	GPI-anchor biosynthesis, core oligosaccharide	(K03857 and K03859 and K03858 and K03861 and K03860 and (K11001 or K11002))	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00065+02	GPI-anchor biosynthesis, core oligosaccharide	K03434	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00065+03	GPI-anchor biosynthesis, core oligosaccharide	K05283	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00065+04	GPI-anchor biosynthesis, core oligosaccharide	(K05284 and K07541)	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00065+05	GPI-anchor biosynthesis, core oligosaccharide	K07542	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00065+06	GPI-anchor biosynthesis, core oligosaccharide	K05285	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00065+07	GPI-anchor biosynthesis, core oligosaccharide	K05286	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00065+08	GPI-anchor biosynthesis, core oligosaccharide	(K05288 and K05287)	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00065+09	GPI-anchor biosynthesis, core oligosaccharide	(K05310 and K05287)	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00066+01	Lactosylceramide biosynthesis	K00720	Lipid metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00066+02	Lactosylceramide biosynthesis	(K07553 or K09905)	Lipid metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00067+01	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	K04628	Lipid metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00067+02	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	K01019	Lipid metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00068+01	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	K01988	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00068+02	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	K00719	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00069+01	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	K03370	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00069+02	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	(K03371 or K03369)	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00070+01	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	K03766	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00070+02	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	(K07819 or K07820 or K03877)	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00071+01	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	K03766	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00071+02	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	(K07966 or K07967 or K07968 or K07969)	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00072+01	N-glycosylation by oligosaccharyltransferase	K07151 and K12666 and K12667 and K12668 and K12669 and K12670	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00073+01	N-glycan precursor trimming	K01228	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00073+02	N-glycan precursor trimming	K05546	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00073+03	N-glycan precursor trimming	K23741	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00073+04	N-glycan precursor trimming	K01230	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00074+01	N-glycan biosynthesis, high-mannose type	K05546	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00074+02	N-glycan biosynthesis, high-mannose type	K23741	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00074+03	N-glycan biosynthesis, high-mannose type	K01230	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00074+04	N-glycan biosynthesis, high-mannose type	K05528	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00074+05	N-glycan biosynthesis, high-mannose type	K05529 and K05530	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00074+06	N-glycan biosynthesis, high-mannose type	K05529 and K05531 and K05532 and K05533 and K05534	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00074+07	N-glycan biosynthesis, high-mannose type	K05535	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00075+01	N-glycan biosynthesis, complex type	K01231	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00075+02	N-glycan biosynthesis, complex type	K00736	Glycan biosynthesis	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00076+01	Dermatan sulfate degradation	K01136	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00076+02	Dermatan sulfate degradation	K01217	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00076+03	Dermatan sulfate degradation	K01135	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00076+04	Dermatan sulfate degradation	K01197	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00076+05	Dermatan sulfate degradation	K01195	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent
M00077+01	Chondroitin sulfate degradation	K01135	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00077+02	Chondroitin sulfate degradation	K01197	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00077+03	Chondroitin sulfate degradation	K01195	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent
M00077+04	Chondroitin sulfate degradation	K01132	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00078+01	Heparan sulfate degradation	(K07964 or K07965)	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00078+02	Heparan sulfate degradation	K01136	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00078+03	Heparan sulfate degradation	K01217	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00078+04	Heparan sulfate degradation	K01565	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00078+05	Heparan sulfate degradation	K10532	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00078+06	Heparan sulfate degradation	K01205	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00078+07	Heparan sulfate degradation	K01195	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent
