Module step	Module	KO id	Module Category	SGB_001 Module step presence	SGB_002 Module step presence	SGB_003 Module step presence	SGB_004 Module step presence	SGB_005 Module step presence	SGB_006 Module step presence	SGB_007 Module step presence	SGB_008 Module step presence	SGB_009 Module step presence	SGB_010 Module step presence	SGB_011 Module step presence	SGB_012 Module step presence	SGB_013 Module step presence	SGB_014 Module step presence	SGB_015 Module step presence	SGB_016 Module step presence	SGB_017 Module step presence	SGB_018 Module step presence	SGB_019 Module step presence	SGB_020 Module step presence	SGB_021 Module step presence	SGB_022 Module step presence	SGB_023 Module step presence	SGB_024 Module step presence	TRUNC_050 Module step presence	TRUNC_070 Module step presence	TRUNC_090 Module step presence	TRUNC_100 Module step presence
M00003+06	Gluconeogenesis, oxaloacetate => fructose-6P	K01803	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present
M00003+07	Gluconeogenesis, oxaloacetate => fructose-6P	((K01623 or K01624 or K11645) and (K03841 or K02446 or K11532 or K01086 or K04041) or K01622)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present
M00004+01	Pentose phosphate pathway (Pentose phosphate cycle)	(K13937 or ((K00036 or K19243) and (K01057 or K07404)))	Central carbohydrate metabolism	Absent	Present	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Present	Present	Present
M00004+02	Pentose phosphate pathway (Pentose phosphate cycle)	K00033	Central carbohydrate metabolism	Absent	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Present	Present	Absent	Absent	Present	Present	Present	Present	Present
M00004+03	Pentose phosphate pathway (Pentose phosphate cycle)	K01783	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Absent	Present	Present	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Present	Present
M00004+04	Pentose phosphate pathway (Pentose phosphate cycle)	(K01807 or K01808)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Absent	Present	Present	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present
M00004+05	Pentose phosphate pathway (Pentose phosphate cycle)	K00615	Central carbohydrate metabolism	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Present
M00004+06	Pentose phosphate pathway (Pentose phosphate cycle)	((K00616 and (K01810 or K06859 or K15916)) or K13810)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Absent	Absent	Present	Present
M00005+01	PRPP biosynthesis, ribose 5P => PRPP	K00948	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present
M00006+01	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	(K13937 or ((K00036 or K19243) and (K01057 or K07404)))	Central carbohydrate metabolism	Absent	Present	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Present	Present	Present
M00006+02	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	K00033	Central carbohydrate metabolism	Absent	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Present	Present	Absent	Absent	Present	Present	Present	Present	Present
M00007+01	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K00615	Central carbohydrate metabolism	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Present
M00007+02	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	(K00616 or K13810)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Absent	Absent	Present	Present
M00007+03	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K01783	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Absent	Present	Present	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Present	Present
M00007+04	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	(K01807 or K01808)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Absent	Present	Present	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present
M00008+01	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K00036	Central carbohydrate metabolism	Absent	Present	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Present	Absent	Present	Present	Present	Present	Present	Present
M00008+02	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	(K01057 or K07404)	Central carbohydrate metabolism	Absent	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Absent	Present	Present	Present
M00008+03	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K01690	Central carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00008+04	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K01625	Central carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent
M00009+01	Citrate cycle (TCA cycle, Krebs cycle)	(K01647 or K05942)	Central carbohydrate metabolism	Absent	Present	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Present
M00009+02	Citrate cycle (TCA cycle, Krebs cycle)	(K01681 or K01682)	Central carbohydrate metabolism	Present	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00009+03	Citrate cycle (TCA cycle, Krebs cycle)	(K00031 or K00030)	Central carbohydrate metabolism	Present	Present	Absent	Absent	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Present	Present	Present	Present	Present	Present	Present
M00009+04	Citrate cycle (TCA cycle, Krebs cycle)	((K00164 and K00658 or K01616) and K00382 or K00174 and K00175)	Central carbohydrate metabolism	Absent	Present	Present	Present	Present	Absent	Present	Absent	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present
M00009+05	Citrate cycle (TCA cycle, Krebs cycle)	(K01902 and K01903 or K01899 and K01900 or K18118)	Central carbohydrate metabolism	Present	Present	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Present	Present	Present	Present
M00009+06	Citrate cycle (TCA cycle, Krebs cycle)	(K00234 and K00235 and K00236 and (K00237 or K25801) or K00239 and K00240 and K00241-(K00242 or K18859 or K18860) or K00244 and K00245 and K00246)	Central carbohydrate metabolism	Present	Absent	Present	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00009+07	Citrate cycle (TCA cycle, Krebs cycle)	(K01676 or K01679 or K01677 and K01678)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Present	Absent	Absent	Present	Present	Present	Present
M00009+08	Citrate cycle (TCA cycle, Krebs cycle)	(K00026 or K00025 or K00024 or K00116)	Central carbohydrate metabolism	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Present	Present	Present
M00010+01	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K01647 or K05942)	Central carbohydrate metabolism	Absent	Present	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Present
M00010+02	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K01681 or K01682)	Central carbohydrate metabolism	Present	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00010+03	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K00031 or K00030)	Central carbohydrate metabolism	Present	Present	Absent	Absent	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Present	Present	Present	Present	Present	Present	Present
M00011+01	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	((K00164 and K00658 or K01616) and K00382 or K00174 and K00175)	Central carbohydrate metabolism	Absent	Present	Present	Present	Present	Absent	Present	Absent	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present
M00011+02	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K01902 and K01903 or K01899 and K01900 or K18118)	Central carbohydrate metabolism	Present	Present	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Present	Present	Present	Present
M00011+03	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K00234 and K00235 and K00236 and (K00237 or K25801) or K00239 and K00240 and K00241-(K00242 or K18859 or K18860) or K00244 and K00245 and K00246)	Central carbohydrate metabolism	Present	Absent	Present	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00011+04	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K01676 or K01679 or K01677 and K01678)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Present	Absent	Absent	Present	Present	Present	Present
M00011+05	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K00026 or K00025 or K00024 or K00116)	Central carbohydrate metabolism	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Present	Present	Present
