MockTarget	ObservedName	Expected	DetectedAtSpeciesRank	EvidenceBoundary
Saccharomyces cerevisiae	Saccharomyces cerevisiae	true	true	>=2 marker genes and >=4 reads after EukDetect2 filtering
Cryptococcus neoformans complex	Cryptococcus deneoformans; Cryptococcus neoformans	true	true	>=2 marker genes and >=4 reads after EukDetect2 filtering
