Name	TaxID	ExpectedInMock	MockTarget	ObservedMarkers	TotalMarkerReads	DirectMarkerReads	ReassignedReads	PercentIdentity	MarkerCoveragePercent	RPKS	RPKSB	RelEukPercent	Genomes
Saccharomyces cerevisiae	4932	true	Saccharomyces cerevisiae	60	235.0	212.0	23.0	99.38	17.1	1.1596	3.888756	71.9328	Saccharomyces_cerevisiae_ASM966324v1,Saccharomyces_cerevisiae_S288C
Cryptococcus deneoformans	40410	true	Cryptococcus neoformans complex	33	77.0	75.0	2.0	99.14	9.37	0.2847	0.954751	17.6621	Cryptococcus_deneoformans_JEC21
Cryptococcus neoformans	5207	true	Cryptococcus neoformans complex	22	53.0	53.0	0.0	99.48	7.59	0.1677	0.562387	10.405	Cryptococcus_neoformans_H99
