Mode	Metric	Estimate	Percent	Numerator	Denominator	ResolvedEukaryoteContigs	ResolvedProkaryoteContigs	UnresolvedContigs
Strict	Sensitivity	0.665158371040724	66.51583710407239	147	221	221	388	82
Strict	Specificity	0.9948453608247423	99.48453608247422	386	388	221	388	82
Strict	Precision	0.9865771812080537	98.65771812080537	147	149	221	388	82
Balanced	Sensitivity	0.7375565610859729	73.7556561085973	163	221	221	388	82
Balanced	Specificity	0.9948453608247423	99.48453608247422	386	388	221	388	82
Balanced	Precision	0.9878787878787879	98.7878787878788	163	165	221	388	82
Lenient	Sensitivity	0.9457013574660633	94.57013574660633	209	221	221	388	82
Lenient	Specificity	0.9896907216494846	98.96907216494846	384	388	221	388	82
Lenient	Precision	0.9812206572769953	98.12206572769952	209	213	221	388	82
