Branch	ReadPairsBefore	ReadPairsAfter	BasesBefore	BasesAfter	ReadRetentionPercent	Q30BeforePercent	Q30AfterPercent
EukDetect	1000000	995217	299110793	298193028	99.5217	100	100
Assembly	20000000	19906206	5982154152	5964303779	99.53103	100	100
