Role	Path	Bytes	SHA256	Bases	Pairs
assembly_r1	work/article58/inputs/SRR12324253.first-20000000-pairs.R1.fastq	7322302538	b6bfc359f693891522afa7522181dbf2df068b07b739be049dbbba97ac3bfe3f	2992054627	20000000
assembly_r2	work/article58/inputs/SRR12324253.first-20000000-pairs.R2.fastq	7318392334	a9c980fb440d20a6ecb16ffba217b2d705b69190727d7c27ee0281fdea931a7f	2990099525	20000000
eukdetect_r1	work/article58/inputs/SRR12324253.first-1000000-pairs.R1.fastq	364499963	43667fe96f69bb45dba1490fd11b6383edda138338481c2a4bd84a2d4b251582	149574725	1000000
eukdetect_r2	work/article58/inputs/SRR12324253.first-1000000-pairs.R2.fastq	364422649	21d3147118573d4fcc41f8e570af349712f33d698fe90ade88eeeb21509d2eb3	149536068	1000000
