Denominator	Component	Percent
Expected total DNA	Saccharomyces cerevisiae	2.0
Expected total DNA	Cryptococcus neoformans complex	2.0
Expected total DNA	Other organisms	96.0
Expected eukaryote-only	Saccharomyces cerevisiae	50.0
Expected eukaryote-only	Cryptococcus neoformans complex	50.0
Expected eukaryote-only	Other organisms	0.0
EukDetect RelEuk	Saccharomyces cerevisiae	71.9328
EukDetect RelEuk	Cryptococcus neoformans complex	17.6621
EukDetect RelEuk	Cryptococcus neoformans complex	10.405
