Model	Threshold	FPR	TPR
Random forest	Inf	0	0
Random forest	0.79369873015873	0	0.0188679245283019
Random forest	0.790318518518519	0	0.0377358490566038
Random forest	0.789140317460317	0	0.0566037735849057
Random forest	0.783478518518519	0	0.0754716981132075
Random forest	0.78032962962963	0	0.0943396226415094
Random forest	0.780256507936508	0	0.113207547169811
Random forest	0.774467407407407	0	0.132075471698113
Random forest	0.767964338624339	0	0.150943396226415
Random forest	0.755666455026455	0	0.169811320754717
Random forest	0.737187513227513	0	0.188679245283019
Random forest	0.736371957671958	0	0.207547169811321
Random forest	0.734343492063492	0	0.226415094339623
Random forest	0.729105714285714	0	0.245283018867925
Random forest	0.725066031746032	0	0.264150943396226
Random forest	0.709999047619048	0	0.283018867924528
Random forest	0.707213227513228	0	0.30188679245283
Random forest	0.682831534391534	0	0.320754716981132
Random forest	0.679866878306878	0	0.339622641509434
Random forest	0.664994285714286	0.0163934426229508	0.339622641509434
Random forest	0.660676402116402	0.0163934426229508	0.358490566037736
Random forest	0.653965714285714	0.0163934426229508	0.377358490566038
Random forest	0.624413333333333	0.0163934426229508	0.39622641509434
Random forest	0.614439894179894	0.0163934426229508	0.415094339622642
Random forest	0.614160529100529	0.0163934426229508	0.433962264150943
Random forest	0.613949312169312	0.0327868852459016	0.433962264150943
Random forest	0.610577566137566	0.0327868852459016	0.452830188679245
Random forest	0.601924126984127	0.0327868852459016	0.471698113207547
Random forest	0.599430899470899	0.0327868852459016	0.490566037735849
Random forest	0.594134074074074	0.0327868852459016	0.509433962264151
Random forest	0.592760317460317	0.0491803278688525	0.509433962264151
Random forest	0.586505079365079	0.0491803278688525	0.528301886792453
Random forest	0.585809523809524	0.0491803278688525	0.547169811320755
Random forest	0.585175238095238	0.0491803278688525	0.566037735849057
Random forest	0.581108571428572	0.0491803278688525	0.584905660377358
Random forest	0.575685079365079	0.0491803278688525	0.60377358490566
Random forest	0.574731746031746	0.0491803278688525	0.622641509433962
Random forest	0.557048677248677	0.0491803278688525	0.641509433962264
Random forest	0.552536825396825	0.0491803278688525	0.660377358490566
Random forest	0.539634603174603	0.0655737704918033	0.660377358490566
Random forest	0.535056402116402	0.0655737704918033	0.679245283018868
Random forest	0.520383703703704	0.0655737704918033	0.69811320754717
Random forest	0.518247195767196	0.0655737704918033	0.716981132075472
Random forest	0.513946243386243	0.0655737704918033	0.735849056603774
Random forest	0.511521587301587	0.0819672131147541	0.735849056603774
Random forest	0.500767195767196	0.0983606557377049	0.735849056603774
Random forest	0.497960952380952	0.0983606557377049	0.754716981132076
Random forest	0.496604761904762	0.0983606557377049	0.773584905660377
Random forest	0.493905714285714	0.114754098360656	0.773584905660377
Random forest	0.484056190476191	0.131147540983607	0.773584905660377
Random forest	0.4811108994709	0.147540983606557	0.773584905660377
Random forest	0.476990052910053	0.163934426229508	0.773584905660377
Random forest	0.476425185185185	0.180327868852459	0.773584905660377
Random forest	0.473824444444444	0.180327868852459	0.792452830188679
Random forest	0.459661481481481	0.19672131147541	0.792452830188679
Random forest	0.457850582010582	0.213114754098361	0.792452830188679
Random forest	0.453126772486773	0.229508196721311	0.792452830188679
Random forest	0.445941693121693	0.245901639344262	0.792452830188679
Random forest	0.443475343915344	0.262295081967213	0.792452830188679
Random forest	0.440913968253968	0.278688524590164	0.792452830188679
Random forest	0.420235767195767	0.295081967213115	0.792452830188679
Random forest	0.413903068783069	0.311475409836066	0.792452830188679
Random forest	0.4101108994709	0.311475409836066	0.811320754716981
Random forest	0.40696708994709	0.311475409836066	0.830188679245283
Random forest	0.405412169312169	0.327868852459016	0.830188679245283
Random forest	0.399289735449735	0.344262295081967	0.830188679245283
Random forest	0.395770582010582	0.360655737704918	0.830188679245283
Random forest	0.389523597883598	0.377049180327869	0.830188679245283
Random forest	0.381857671957672	0.39344262295082	0.830188679245283
Random forest	0.380453968253968	0.409836065573771	0.830188679245283
Random forest	0.379330899470899	0.426229508196721	0.830188679245283
Random forest	0.368460423280423	0.442622950819672	0.830188679245283
Random forest	0.366415555555556	0.459016393442623	0.830188679245283
Random forest	0.354556084656085	0.475409836065574	0.830188679245283
Random forest	0.350997566137566	0.491803278688525	0.830188679245283
Random forest	0.349128042328042	0.508196721311475	0.830188679245283
Random forest	0.346697037037037	0.508196721311475	0.849056603773585
Random forest	0.343697566137566	0.524590163934426	0.849056603773585
Random forest	0.343080529100529	0.524590163934426	0.867924528301887
Random forest	0.340280423280423	0.540983606557377	0.867924528301887
Random forest	0.337438095238095	0.557377049180328	0.867924528301887
Random forest	0.334217989417989	0.573770491803279	0.867924528301887
Random forest	0.330348994708995	0.590163934426229	0.867924528301887
Random forest	0.325077777777778	0.590163934426229	0.886792452830189
Random forest	0.321410476190476	0.60655737704918	0.886792452830189
Random forest	0.317219788359788	0.60655737704918	0.905660377358491
Random forest	0.31441291005291	0.622950819672131	0.905660377358491
Random forest	0.313346137566138	0.639344262295082	0.905660377358491
Random forest	0.298959365079365	0.639344262295082	0.924528301886792
Random forest	0.298058201058201	0.655737704918033	0.924528301886792
Random forest	0.294437777777778	0.655737704918033	0.943396226415094
Random forest	0.292275978835979	0.655737704918033	0.962264150943396
Random forest	0.28948328042328	0.672131147540984	0.962264150943396
Random forest	0.288756084656085	0.688524590163934	0.962264150943396
Random forest	0.285634391534392	0.704918032786885	0.962264150943396
Random forest	0.285175238095238	0.721311475409836	0.962264150943396
Random forest	0.281546984126984	0.737704918032787	0.962264150943396
Random forest	0.275800952380952	0.754098360655738	0.962264150943396
Random forest	0.273617883597884	0.770491803278688	0.962264150943396
Random forest	0.264744232804233	0.786885245901639	0.962264150943396
Random forest	0.264326137566138	0.80327868852459	0.962264150943396
Random forest	0.25861417989418	0.819672131147541	0.962264150943396
Random forest	0.257570899470899	0.819672131147541	0.981132075471698
Random forest	0.253168994708995	0.836065573770492	0.981132075471698
Random forest	0.247360846560847	0.852459016393443	0.981132075471698
Random forest	0.243962010582011	0.868852459016393	0.981132075471698
Random forest	0.234367830687831	0.885245901639344	0.981132075471698
Random forest	0.233113227513228	0.901639344262295	0.981132075471698
Random forest	0.222707513227513	0.918032786885246	0.981132075471698
Random forest	0.217969417989418	0.934426229508197	0.981132075471698
Random forest	0.199810793650794	0.950819672131147	0.981132075471698
Random forest	0.198264656084656	0.967213114754098	0.981132075471698
Random forest	0.186889841269841	0.983606557377049	0.981132075471698
Random forest	0.182091534391534	1	0.981132075471698
Random forest	0.166541058201058	1	1
Random forest	-Inf	1	1
XGBoost	Inf	0	0
XGBoost	0.96273717880249	0	0.0188679245283019
XGBoost	0.918618667125702	0	0.0377358490566038
XGBoost	0.918087422847748	0	0.0566037735849057
XGBoost	0.90685065984726	0	0.0754716981132075
XGBoost	0.872146427631378	0	0.0943396226415094
XGBoost	0.865504312515259	0	0.113207547169811
XGBoost	0.863338422775269	0	0.132075471698113
XGBoost	0.856279683113098	0	0.150943396226415
XGBoost	0.828576457500458	0	0.169811320754717
XGBoost	0.816809391975403	0	0.188679245283019
XGBoost	0.80250049829483	0	0.207547169811321
XGBoost	0.798500740528107	0	0.226415094339623
XGBoost	0.789665532112122	0.0163934426229508	0.226415094339623
XGBoost	0.788944876194	0.0163934426229508	0.245283018867925
XGBoost	0.775815439224243	0.0163934426229508	0.264150943396226
XGBoost	0.773285758495331	0.0163934426229508	0.283018867924528
XGBoost	0.77059246301651	0.0163934426229508	0.30188679245283
XGBoost	0.756720304489136	0.0327868852459016	0.30188679245283
XGBoost	0.754511523246765	0.0327868852459016	0.320754716981132
XGBoost	0.744606268405914	0.0491803278688525	0.320754716981132
XGBoost	0.737097120285034	0.0491803278688525	0.339622641509434
XGBoost	0.723921465873718	0.0491803278688525	0.358490566037736
XGBoost	0.721113395690918	0.0491803278688525	0.377358490566038
XGBoost	0.709318578243256	0.0491803278688525	0.39622641509434
XGBoost	0.681745231151581	0.0491803278688525	0.415094339622642
XGBoost	0.664355576038361	0.0491803278688525	0.433962264150943
XGBoost	0.660632634162903	0.0655737704918033	0.433962264150943
XGBoost	0.639778524637222	0.0655737704918033	0.452830188679245
XGBoost	0.631774842739105	0.0655737704918033	0.471698113207547
XGBoost	0.616019940376282	0.0819672131147541	0.471698113207547
XGBoost	0.590970647335052	0.0983606557377049	0.471698113207547
XGBoost	0.584598278999329	0.0983606557377049	0.490566037735849
XGBoost	0.583967304229736	0.0983606557377049	0.509433962264151
XGBoost	0.570654797554016	0.0983606557377049	0.528301886792453
XGBoost	0.560547113418579	0.0983606557377049	0.547169811320755
XGBoost	0.558367031812668	0.0983606557377049	0.566037735849057
XGBoost	0.555981683731079	0.0983606557377049	0.584905660377358
XGBoost	0.552050107717514	0.0983606557377049	0.60377358490566
XGBoost	0.548031675815582	0.0983606557377049	0.622641509433962
XGBoost	0.545061701536179	0.114754098360656	0.622641509433962
XGBoost	0.542563396692276	0.114754098360656	0.641509433962264
XGBoost	0.531599867343903	0.114754098360656	0.660377358490566
XGBoost	0.525780516862869	0.114754098360656	0.679245283018868
XGBoost	0.500282526016235	0.131147540983607	0.679245283018868
XGBoost	0.498832070827484	0.131147540983607	0.69811320754717
XGBoost	0.492516201734543	0.131147540983607	0.716981132075472
XGBoost	0.489158928394318	0.147540983606557	0.716981132075472
XGBoost	0.474885207414627	0.163934426229508	0.716981132075472
XGBoost	0.474761819839478	0.180327868852459	0.716981132075472
XGBoost	0.466115272045135	0.180327868852459	0.735849056603774
XGBoost	0.452943050861359	0.19672131147541	0.735849056603774
XGBoost	0.447631883621216	0.213114754098361	0.735849056603774
XGBoost	0.441753321886063	0.213114754098361	0.754716981132076
XGBoost	0.441268908977509	0.213114754098361	0.773584905660377
XGBoost	0.43396058678627	0.229508196721311	0.773584905660377
XGBoost	0.430151644349098	0.245901639344262	0.773584905660377
XGBoost	0.429105967283249	0.262295081967213	0.773584905660377
XGBoost	0.411856460571289	0.278688524590164	0.773584905660377
XGBoost	0.405848612636328	0.295081967213115	0.773584905660377
XGBoost	0.404894235730171	0.311475409836066	0.773584905660377
XGBoost	0.40481995344162	0.327868852459016	0.773584905660377
XGBoost	0.382941177487373	0.344262295081967	0.773584905660377
XGBoost	0.373445111513138	0.344262295081967	0.792452830188679
XGBoost	0.364023730158806	0.344262295081967	0.811320754716981
XGBoost	0.340683460235596	0.360655737704918	0.811320754716981
XGBoost	0.328277534246445	0.377049180327869	0.811320754716981
XGBoost	0.324283996224403	0.377049180327869	0.830188679245283
XGBoost	0.322131431102753	0.39344262295082	0.830188679245283
XGBoost	0.311570057272911	0.39344262295082	0.849056603773585
XGBoost	0.31091488301754	0.409836065573771	0.849056603773585
XGBoost	0.303093771636486	0.409836065573771	0.867924528301887
XGBoost	0.300735586881638	0.426229508196721	0.867924528301887
XGBoost	0.296782729029655	0.442622950819672	0.867924528301887
XGBoost	0.292996484041214	0.459016393442623	0.867924528301887
XGBoost	0.289517825841904	0.475409836065574	0.867924528301887
XGBoost	0.286489272117615	0.491803278688525	0.867924528301887
XGBoost	0.276501208543777	0.508196721311475	0.867924528301887
XGBoost	0.274910487234592	0.524590163934426	0.867924528301887
XGBoost	0.262913697957993	0.540983606557377	0.867924528301887
XGBoost	0.261675037443638	0.540983606557377	0.886792452830189
XGBoost	0.259023202955723	0.557377049180328	0.886792452830189
XGBoost	0.256164210289717	0.573770491803279	0.886792452830189
XGBoost	0.253480863571167	0.590163934426229	0.886792452830189
XGBoost	0.252572530508041	0.60655737704918	0.886792452830189
XGBoost	0.252229762077332	0.622950819672131	0.886792452830189
XGBoost	0.251832973957062	0.639344262295082	0.886792452830189
XGBoost	0.244070561230183	0.655737704918033	0.886792452830189
XGBoost	0.243306057155132	0.672131147540984	0.886792452830189
XGBoost	0.243070334196091	0.672131147540984	0.905660377358491
XGBoost	0.238976150751114	0.672131147540984	0.924528301886792
XGBoost	0.233542717993259	0.688524590163934	0.924528301886792
XGBoost	0.225126798450947	0.704918032786885	0.924528301886792
XGBoost	0.222488576173782	0.704918032786885	0.943396226415094
XGBoost	0.221644607186317	0.721311475409836	0.943396226415094
XGBoost	0.219051791727543	0.737704918032787	0.943396226415094
XGBoost	0.216336691379547	0.737704918032787	0.962264150943396
XGBoost	0.213700520992279	0.754098360655738	0.962264150943396
XGBoost	0.209937028586864	0.770491803278688	0.962264150943396
XGBoost	0.202728186547756	0.786885245901639	0.962264150943396
XGBoost	0.19550475217402	0.80327868852459	0.962264150943396
XGBoost	0.185031314194202	0.819672131147541	0.962264150943396
XGBoost	0.171062421798706	0.819672131147541	0.981132075471698
