Algorithm	Samples	Controls	CRC	AUROC	AUROCLower95	AUROCUpper95	AUPRC	Brier	SensitivityAt0.5	SpecificityAt0.5	Legend
Random forest	114	61	53	0.851531085678936	0.776266031078795	0.926796140279077	0.873254568304469	0.171157032676199	0.735849056603774	0.901639344262295	Random forest (AUROC 0.85, 95% CI 0.78–0.93)
XGBoost	114	61	53	0.820290751623879	0.740341059140528	0.900240444107229	0.824209499888131	0.172110490266727	0.679245283018868	0.868852459016393	XGBoost (AUROC 0.82, 95% CI 0.74–0.90)
