Pipeline	Permutations	MedianAUROC	Lower95	Upper95	LabelInformationFromTestFold
Fold-scoped preprocessing	50	0.496288277141973	0.333923600371172	0.645453139498917	FALSE
Global label-selected top 20	50	0.708320445406743	0.613006495515002	0.792445097432725	TRUE
