Rank	ThresholdPct	DetectedClades	RetainedAbundancePct	ExcludedAbundancePct	RetainedFractionOfClassified	Rule
Species	0.0	31	99.99996	0.0	1.0	post_profile_only
Species	0.01	31	99.99996	0.0	1.0	post_profile_only
Species	0.1	29	99.83199	0.16796999999999684	0.9983202993281197	post_profile_only
Species	1.0	20	94.37462	5.6253400000000084	0.9437465774986309	post_profile_only
SGB	0.0	31	99.99996	0.0	1.0	post_profile_only
SGB	0.01	31	99.99996	0.0	1.0	post_profile_only
SGB	0.1	29	99.83199	0.16796999999999684	0.9983202993281197	post_profile_only
SGB	1.0	20	94.37462	5.6253400000000084	0.9437465774986309	post_profile_only
