Tool	Version	Executable
MetaPhlAn	4.2.5	${BIOBAKERY_ENV_PREFIX}/bin/metaphlan
Bowtie2	2.5.5	${BIOBAKERY_ENV_PREFIX}/bin/bowtie2
Python	3.12.13	${BIOBAKERY_ENV_PREFIX}/bin/python
