SampleID	PairDepth	ProfilingReads	Rank	CladeName	TaxID	SpeciesLabel	SGBLabel	SGBClass	RelativeAbundancePct	Coverage	EstimatedReads
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Herpetosiphonales|f__Herpetosiphonaceae|g__Herpetosiphon|s__Herpetosiphon_aurantiacus|t__SGB17736	2|200795|32061|189772|189773|64|65|	s__Herpetosiphon_aurantiacus	t__SGB17736	Known SGB	1.4625	0.0008055160311868297	14827
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula|s__Rhodopirellula_baltica|t__SGB3284	2|203682|203683|2691354|2691357|265488|265606|	s__Rhodopirellula_baltica	t__SGB3284	Known SGB	1.31188	0.0007225603744858903	18304
ERR9765746_MOCK1	99991	199929	SGB	k__Archaea|p__Methanobacteriota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_salinarum|t__SGB257	2157|28890|183963|2235|2236|2239|2242|	s__Halobacterium_salinarum	t__SGB257	Known SGB	1.22614	0.0006753345652967777	6435
ERR9765746_MOCK1	99991	199929	SGB	k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_islandicus|t__SGB913	2157|28889|183924|114380|2272|54258|54259|	s__Ignicoccus_islandicus	t__SGB913	Known SGB	0.99576	0.0005484470466247478	2153
ERR9765746_MOCK1	99991	199929	SGB	k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus|s__Methanococcus_maripaludis|t__SGB661	2157|28890|183939|2182|2183|2184|39152|	s__Methanococcus_maripaludis	t__SGB661	Known SGB	0.80915	0.0004456615961638476	5323
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp_Y04AAS1|t__SGB101154	2|200783|187857|32069|64898|168657|380749|	s__Hydrogenobaculum_sp_Y04AAS1	t__SGB101154	Known SGB	0.78527	0.00043251411281253384	3618
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_phaeobacteroides|t__SGB8453	2|1090|191410|191411|191412|1091|1096|	s__Chlorobium_phaeobacteroides	t__SGB8453	Known SGB	0.64674	0.0003562131737063707	3551
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_baltica|t__SGB10320_group	2|1224|1236|135622|267890|22|62322|	s__Shewanella_baltica	t__SGB10320_group	Known SGB	0.61025	0.0003361151220253043	11807
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobaculum|s__Chlorobaculum_tepidum|t__SGB8456	2|1090|191410|191411|191412|256319|1097|	s__Chlorobaculum_tepidum	t__SGB8456	Known SGB	0.54523	0.0003003016186200018	5187
ERR9765746_MOCK1	99991	199929	SGB	k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_calidifontis|t__SGB819	2157|28889|183924|2266|2267|2276|181486|	s__Pyrobaculum_calidifontis	t__SGB819	Known SGB	0.52779	0.00029069835780594404	2919
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Wolinella|s__Wolinella_succinogenes|t__SGB19408	2|29547|3031852|213849|72293|843|844|	s__Wolinella_succinogenes	t__SGB19408	Known SGB	0.41939	0.00023099084427539207	2856
ERR9765746_MOCK1	99991	199929	SGB	k__Archaea|p__Methanobacteriota|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae|g__Methanopyrus|s__Methanopyrus_kandleri|t__SGB644	2157|28890|183988|68985|183713|2319|2320|	s__Methanopyrus_kandleri	t__SGB644	Known SGB	0.11779	6.487915938138804e-05	3887
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae|g__Chloroflexus|s__Chloroflexus_aurantiacus|t__SGB17341	2|200795|32061|32064|1106|1107|1108|	s__Chloroflexus_aurantiacus	t__SGB17341	Known SGB	0.09591	5.282637857466467e-05	9587
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Nostocales|f__Nostocaceae|g__Trichormus|s__Trichormus_variabilis|t__SGB13464	2|1117|3028117|1161|1162|264688|264691|	s__Trichormus_variabilis	t__SGB13464	Known SGB	0.07206	3.9690564455104396e-05	21291
