#mpa_vJan26_CHOCOPhlAnSGB_202605
#${BIOBAKERY_ENV_PREFIX}/bin/metaphlan ${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R1.fastq.gz,${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R2.fastq.gz --input_type fastq --db_dir ${METAPHLAN_DB_DIR} --index mpa_vJan26_CHOCOPhlAnSGB_202605 --offline --bowtie2_exe ${BIOBAKERY_ENV_PREFIX}/bin/bowtie2 --mapout ${WORK_DIR}/ERR9765746-full.mapout.bz2 --tmp_dir ${WORK_DIR}/tmp --nproc 8 --read_min_len 70 --perc_nonzero 0.33 --stat tavg_g --stat_q 0.2 -t rel_ab_w_read_stats --tax_lev a --sample_id ERR9765746_MOCK1 --output_file ${PROJECT_ROOT}/data/small/15-metaphlan-frozen/profile-all.tsv
#199929 reads processed
#SampleID	ERR9765746_MOCK1
#Estimated reads mapped to known clades: 261721
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_phaeobacteroides	2|1090|191410|191411|191412|1091|1096	0.64674	0.0003562131737063707	3551
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_baltica	2|1224|1236|135622|267890|22|62322	0.61025	0.0003361151220253043	11807
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobaculum|s__Chlorobaculum_tepidum	2|1090|191410|191411|191412|256319|1097	0.54523	0.0003003016186200018	5187
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_calidifontis	2157|28889|183924|2266|2267|2276|181486	0.52779	0.00029069835780594404	2919
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Wolinella|s__Wolinella_succinogenes	2|29547|3031852|213849|72293|843|844	0.41939	0.00023099084427539207	2856
k__Archaea|p__Methanobacteriota|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae|g__Methanopyrus|s__Methanopyrus_kandleri	2157|28890|183988|68985|183713|2319|2320	0.11779	6.487915938138804e-05	3887
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae|g__Chloroflexus|s__Chloroflexus_aurantiacus	2|200795|32061|32064|1106|1107|1108	0.09591	5.282637857466467e-05	9587
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Nostocales|f__Nostocaceae|g__Trichormus|s__Trichormus_variabilis	2|1117|3028117|1161|1162|264688|264691	0.07206	3.9690564455104396e-05	21291
k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_neapolitana|t__SGB19176	2|200918|188708|2419|188709|2335|2337|	14.51883	0.007996690560745028	15534
k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus_jannaschii|t__SGB648	2157|28890|183939|2182|196117|196118|2190|	10.48936	0.005777336553204488	12045
k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_petrophila|t__SGB19175	2|200918|188708|2419|188709|2335|93929|	10.33244	0.005690904969036624	11899
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus|s__Methanothermus_fervidus|t__SGB722	2157|28890|183925|2158|2178|2179|2180|	9.16649	0.00504872567573879	6579
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Caldicellulosiruptorales|f__Caldicellulosiruptoraceae|g__Caldicellulosiruptor|s__Caldicellulosiruptor_changbaiensis|t__SGB8548	2|1239||3071001|3071002|44000|1222016|	8.98371	0.004948053717287334	15860
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis|t__SGB720	2157|28890|183925|2158|2159|2172|66851|	4.86134	0.002677530286493419	9272
k__Archaea|p__Methanobacteriota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Pyrococcus|s__Pyrococcus_horikoshii|t__SGB896	2157|28890|183968|2258|2259|2260|53953|	4.43493	0.0024426747770017027	5444
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas|s__Gemmatimonas_aurantiaca|t__SGB17603	2|142182|219685|219686|219687|173479|173480|	4.37132	0.002407636902697987	13135
k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella_marina|t__SGB19010	2|200783|187857|32069|224027|182899|309805|	3.56869	0.001965565725186219	6717
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas_europaea|t__SGB13363	2|1224|28216|32003|206379|914|915|	3.48487	0.0019194010422632682	9855
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae|g__Desulfobulbus|s__Desulfobulbus_oralis|t__SGB8831	2|200940|3031451|3024411|213121|893|1986146|	2.90018	0.00159736167385569	8252
k__Archaea|p__Nanobdellota|c__Candidatus_Nanoarchaeia|o__Nanoarchaeales|f__Nanoarchaeaceae|g__Nanoarchaeum|s__Nanoarchaeum_equitans|t__SGB645	2157|192989|2885752|1890940|1890941|193568|160232|	2.89183	0.0015927660613652677	2030
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Thermoanaerobacter|s__Thermoanaerobacter_thermohydrosulfuricus|t__SGB8563_group	2|1239|186801|68295|186814|1754|1516|	2.69366	0.0014836131717852058	10003
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_phaeovibrioides|t__SGB8461	2|1090|191410|191411|191412|1091|1094|	2.35481	0.0012969846915112748	5633
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis|t__SGB2057	2|976|200643|171549|171551|836|837|	1.90573	0.001049636479191153	7210
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_limicola|t__SGB8451	2|1090|191410|191411|191412|1091|1092|	1.73552	0.0009558932920505344	8094
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_hospitalis|t__SGB912	2157|28889|183924|114380|2272|54258|160233|	1.68039	0.0009255279901176881	2414
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Herpetosiphonales|f__Herpetosiphonaceae|g__Herpetosiphon|s__Herpetosiphon_aurantiacus|t__SGB17736	2|200795|32061|189772|189773|64|65|	1.4625	0.0008055160311868297	14827
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula|s__Rhodopirellula_baltica|t__SGB3284	2|203682|203683|2691354|2691357|265488|265606|	1.31188	0.0007225603744858903	18304
k__Archaea|p__Methanobacteriota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_salinarum|t__SGB257	2157|28890|183963|2235|2236|2239|2242|	1.22614	0.0006753345652967777	6435
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_islandicus|t__SGB913	2157|28889|183924|114380|2272|54258|54259|	0.99576	0.0005484470466247478	2153
k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus|s__Methanococcus_maripaludis|t__SGB661	2157|28890|183939|2182|2183|2184|39152|	0.80915	0.0004456615961638476	5323
k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp_Y04AAS1|t__SGB101154	2|200783|187857|32069|64898|168657|380749|	0.78527	0.00043251411281253384	3618
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_phaeobacteroides|t__SGB8453	2|1090|191410|191411|191412|1091|1096|	0.64674	0.0003562131737063707	3551
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_baltica|t__SGB10320_group	2|1224|1236|135622|267890|22|62322|	0.61025	0.0003361151220253043	11807
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobaculum|s__Chlorobaculum_tepidum|t__SGB8456	2|1090|191410|191411|191412|256319|1097|	0.54523	0.0003003016186200018	5187
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_calidifontis|t__SGB819	2157|28889|183924|2266|2267|2276|181486|	0.52779	0.00029069835780594404	2919
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Wolinella|s__Wolinella_succinogenes|t__SGB19408	2|29547|3031852|213849|72293|843|844|	0.41939	0.00023099084427539207	2856
k__Archaea|p__Methanobacteriota|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae|g__Methanopyrus|s__Methanopyrus_kandleri|t__SGB644	2157|28890|183988|68985|183713|2319|2320|	0.11779	6.487915938138804e-05	3887
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae|g__Chloroflexus|s__Chloroflexus_aurantiacus|t__SGB17341	2|200795|32061|32064|1106|1107|1108|	0.09591	5.282637857466467e-05	9587
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Nostocales|f__Nostocaceae|g__Trichormus|s__Trichormus_variabilis|t__SGB13464	2|1117|3028117|1161|1162|264688|264691|	0.07206	3.9690564455104396e-05	21291
