PairDepth	InputReads	ProfilingReads	ShortReadsExcluded	DetectedSpecies	DetectedSGBs	KnownSGBs	UnknownSGBs	UnclassifiedPct	ClassifiedPct	TopSpecies	TopSpeciesAbundancePct	SubsamplingSeed	PairedSubsamplingArgument	NormalizedPairIDSHA256
20000	40000	39993	7	13	13	13	0	0.0	100.0	s__Thermotoga_neapolitana	20.43279	20260721	40000	0df855d48cbfc744427cd2752ef26d0658ffefea2c61281d8c5526f7c13f760d
50000	100000	99974	26	25	25	25	0	0.0	100.0	s__Thermotoga_neapolitana	15.41145	20260721	100000	ade24f86e3bc9338e4e8191dcea38818d1cbe2b7e2045a5b6fd7bb510036b821
99991	199982	199929	53	31	31	31	0	0.0	100.0	s__Thermotoga_neapolitana	14.51883	not_applicable_all_reads	not_applicable_all_reads	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
