Analysis	Threshold	ClassifiedFeatures	BatchStrategy
Frequency	0.1	58	Pooled
Prevalence	0.1	124	Pooled
Global combined	0.1	56	Pooled
Plate-aware combined	0.1	47	PlateNumber; minimum p across batches
Shared global and plate-aware	0.1	41	Intersection
