Dataset	Library	ReadPairs	BasePairs	RunAccession	MDA
lib1_illumina	1	668776	791188037	ERR10359653	No
lib2_illumina	2	929673	1089598698	ERR10359656	No
lib3_illumina	3	463563	540787645	ERR10359658	No
