Dataset	Library	Platform	PhageID	BreadthPct	MeanDepthX	InputGenomeCopies	InputCPM
lib1_nanopore	1	Nanopore	S-RSM4	7.26599	0.113348	465530.303	275.9807015
lib2_nanopore	2	Nanopore	S-RSM4	6.87155	0.107696	465530.303	275.9807015
lib3_nanopore	3	Nanopore	S-RSM4	8.39273	0.135348	465530.303	275.9807015
pooled_nanopore	pool	Nanopore	S-RSM4	21.1582	0.356393	465530.303	275.9807015
lib1_pacbio	1	PacBio	S-RSM4	1.39056	0.0368519	465530.303	275.9807015
lib2_pacbio	2	PacBio	S-RSM4	2.07813	0.0541208	465530.303	275.9807015
lib3_pacbio	3	PacBio	S-RSM4	1.58187	0.0589085	465530.303	275.9807015
pooled_pacbio	pool	PacBio	S-RSM4	5.05055	0.149881	465530.303	275.9807015
lib1_illumina	1	Illumina	vB_Eco_mar001J1	100	2228.27	53672905.53	31818.95147
lib2_illumina	2	Illumina	vB_Eco_mar001J1	100	2716.82	53672905.53	31818.95147
lib3_illumina	3	Illumina	vB_Eco_mar001J1	100	1406.65	53672905.53	31818.95147
pooled_illumina	pool	Illumina	vB_Eco_mar001J1	100	6351.74	53672905.53	31818.95147
lib1_nanopore	1	Nanopore	vB_Eco_mar001J1	100	2187.3	53672905.53	31818.95147
lib2_nanopore	2	Nanopore	vB_Eco_mar001J1	100	2290.21	53672905.53	31818.95147
lib3_nanopore	3	Nanopore	vB_Eco_mar001J1	100	1577.15	53672905.53	31818.95147
pooled_nanopore	pool	Nanopore	vB_Eco_mar001J1	100	6054.67	53672905.53	31818.95147
lib1_pacbio	1	PacBio	vB_Eco_mar001J1	100	908.587	53672905.53	31818.95147
lib2_pacbio	2	PacBio	vB_Eco_mar001J1	99.998	1019.22	53672905.53	31818.95147
lib3_pacbio	3	PacBio	vB_Eco_mar001J1	100	1530.98	53672905.53	31818.95147
pooled_pacbio	pool	PacBio	vB_Eco_mar001J1	100	3458.79	53672905.53	31818.95147
lib1_illumina	1	Illumina	vB_Eco_mar002J2	100	2232.39	143127748.1	84850.53727
lib2_illumina	2	Illumina	vB_Eco_mar002J2	100	2717.09	143127748.1	84850.53727
lib3_illumina	3	Illumina	vB_Eco_mar002J2	100	1409.77	143127748.1	84850.53727
pooled_illumina	pool	Illumina	vB_Eco_mar002J2	100	6359.25	143127748.1	84850.53727
lib1_nanopore	1	Nanopore	vB_Eco_mar002J2	100	2143.65	143127748.1	84850.53727
lib2_nanopore	2	Nanopore	vB_Eco_mar002J2	100	2215.56	143127748.1	84850.53727
lib3_nanopore	3	Nanopore	vB_Eco_mar002J2	100	1537.5	143127748.1	84850.53727
pooled_nanopore	pool	Nanopore	vB_Eco_mar002J2	100	5896.71	143127748.1	84850.53727
lib1_pacbio	1	PacBio	vB_Eco_mar002J2	100	876.494	143127748.1	84850.53727
lib2_pacbio	2	PacBio	vB_Eco_mar002J2	99.9722	988.281	143127748.1	84850.53727
lib3_pacbio	3	PacBio	vB_Eco_mar002J2	100	1476.35	143127748.1	84850.53727
pooled_pacbio	pool	PacBio	vB_Eco_mar002J2	100	3341.12	143127748.1	84850.53727
lib1_illumina	1	Illumina	vB_Eco_mar003J3	100	602.431	79342555.99	47036.71086
lib2_illumina	2	Illumina	vB_Eco_mar003J3	100	805.091	79342555.99	47036.71086
lib3_illumina	3	Illumina	vB_Eco_mar003J3	100	422.613	79342555.99	47036.71086
pooled_illumina	pool	Illumina	vB_Eco_mar003J3	100	1830.13	79342555.99	47036.71086
lib1_nanopore	1	Nanopore	vB_Eco_mar003J3	100	877.043	79342555.99	47036.71086
lib2_nanopore	2	Nanopore	vB_Eco_mar003J3	100	908.44	79342555.99	47036.71086
lib3_nanopore	3	Nanopore	vB_Eco_mar003J3	100	654.197	79342555.99	47036.71086
pooled_nanopore	pool	Nanopore	vB_Eco_mar003J3	100	2439.68	79342555.99	47036.71086
lib1_pacbio	1	PacBio	vB_Eco_mar003J3	100	360.505	79342555.99	47036.71086
lib2_pacbio	2	PacBio	vB_Eco_mar003J3	100	414.2	79342555.99	47036.71086
lib3_pacbio	3	PacBio	vB_Eco_mar003J3	100	614.949	79342555.99	47036.71086
pooled_pacbio	pool	PacBio	vB_Eco_mar003J3	100	1389.65	79342555.99	47036.71086
lib1_illumina	1	Illumina	vB_Eco_mar005P1	0.394581	0.0231026	53450591.72	31687.157
lib2_illumina	2	Illumina	vB_Eco_mar005P1	0.267027	0.0282882	53450591.72	31687.157
lib3_illumina	3	Illumina	vB_Eco_mar005P1	0.163316	0.0196158	53450591.72	31687.157
pooled_illumina	pool	Illumina	vB_Eco_mar005P1	0.616309	0.0710067	53450591.72	31687.157
lib1_nanopore	1	Nanopore	vB_Eco_mar005P1	0.112652	0.00726577	53450591.72	31687.157
lib2_nanopore	2	Nanopore	vB_Eco_mar005P1	0.112652	0.025004	53450591.72	31687.157
lib3_nanopore	3	Nanopore	vB_Eco_mar005P1	0.112652	0.00817176	53450591.72	31687.157
pooled_nanopore	pool	Nanopore	vB_Eco_mar005P1	0.112652	0.0404415	53450591.72	31687.157
lib1_pacbio	1	PacBio	vB_Eco_mar005P1	0	0	53450591.72	31687.157
lib2_pacbio	2	PacBio	vB_Eco_mar005P1	0.113248	0.0202595	53450591.72	31687.157
lib3_pacbio	3	PacBio	vB_Eco_mar005P1	0.112652	0.00787969	53450591.72	31687.157
pooled_pacbio	pool	PacBio	vB_Eco_mar005P1	0.113248	0.0281392	53450591.72	31687.157
lib1_illumina	1	Illumina	vB_Eco_SLUR29	91.6758	128.229	684329545.5	405691.6313
lib2_illumina	2	Illumina	vB_Eco_SLUR29	94.0691	163.855	684329545.5	405691.6313
lib3_illumina	3	Illumina	vB_Eco_SLUR29	90.369	78.8947	684329545.5	405691.6313
pooled_illumina	pool	Illumina	vB_Eco_SLUR29	95.2956	370.979	684329545.5	405691.6313
lib1_nanopore	1	Nanopore	vB_Eco_SLUR29	94.1753	88.4074	684329545.5	405691.6313
lib2_nanopore	2	Nanopore	vB_Eco_SLUR29	94.6891	87.6307	684329545.5	405691.6313
lib3_nanopore	3	Nanopore	vB_Eco_SLUR29	95.5577	59.7556	684329545.5	405691.6313
pooled_nanopore	pool	Nanopore	vB_Eco_SLUR29	97.3074	235.794	684329545.5	405691.6313
lib1_pacbio	1	PacBio	vB_Eco_SLUR29	64.641	39.9102	684329545.5	405691.6313
lib2_pacbio	2	PacBio	vB_Eco_SLUR29	63.0441	33.8318	684329545.5	405691.6313
lib3_pacbio	3	PacBio	vB_Eco_SLUR29	80.2214	62.2084	684329545.5	405691.6313
pooled_pacbio	pool	PacBio	vB_Eco_SLUR29	88.2987	135.95	684329545.5	405691.6313
lib1_illumina	1	Illumina	vB_EcoS_swan01	100	2314.79	76036616.16	45076.84791
lib2_illumina	2	Illumina	vB_EcoS_swan01	100	2995.61	76036616.16	45076.84791
lib3_illumina	3	Illumina	vB_EcoS_swan01	100	1548.88	76036616.16	45076.84791
pooled_illumina	pool	Illumina	vB_EcoS_swan01	100	6859.28	76036616.16	45076.84791
lib1_nanopore	1	Nanopore	vB_EcoS_swan01	100	2299.15	76036616.16	45076.84791
lib2_nanopore	2	Nanopore	vB_EcoS_swan01	100	2448.23	76036616.16	45076.84791
lib3_nanopore	3	Nanopore	vB_EcoS_swan01	100	1673.57	76036616.16	45076.84791
pooled_nanopore	pool	Nanopore	vB_EcoS_swan01	100	6420.95	76036616.16	45076.84791
lib1_pacbio	1	PacBio	vB_EcoS_swan01	100	953.907	76036616.16	45076.84791
lib2_pacbio	2	PacBio	vB_EcoS_swan01	100	1101.66	76036616.16	45076.84791
