Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	Estimated reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# total reads	# left	# right	Mapped (%)	Reference mapped (%)	Properly paired (%)	Reference properly paired (%)	Avg. coverage depth	Reference avg. coverage depth	Coverage >= 1x (%)	Reference coverage >= 1x (%)	# large blocks misassemblies	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# structural variations	# possible TEs	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	Avg contig read support	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	# operons	Complete BUSCO (%)	Partial BUSCO (%)	# predicted genes (unique)	# predicted genes (>= 0 bp)	# predicted genes (>= 300 bp)	# predicted genes (>= 1500 bp)	# predicted genes (>= 3000 bp)	# predicted rRNA genes	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	K-mer-based compl. (%)	K-mer-based cor. length (%)	K-mer-based mis. length (%)	# k-mer-based misjoins
sr-megahit-co	18354	18354	2432	1278	528	233	84811518	84811518	56148978	48075803	36401266	26136062	18354	1064594	84811518	292802018	-	-	-	15928	-	1411	-	80132.8	-	830	-	11165	-	-	-	-	-	-	-	-	-	-	-	-	-	155	151	5505160	43	0	0	-	-	0	57 + 48 part	155613	29.523	1.005	-	0.00	134.40	3.88	-	-	-	-	-	-	-	-	-	-	1064594	84519191	15562	-	1391	-	74323.1	-	862	-	11387	-	-	-	-	-
sr-metaspades-co	19158	19158	2327	1201	515	243	88166433	88166433	57776529	50041881	39368791	29838114	19158	880531	88166433	292802018	-	-	-	17124	-	1412	-	89312.6	-	743	-	11693	-	-	-	-	-	-	-	-	-	-	-	-	-	129	124	4961781	44	0	0	-	-	0	49 + 58 part	156384	30.953	1.002	-	0.00	133.04	5.36	-	-	-	-	-	-	-	-	-	-	880531	87771240	16938	-	1388	-	82894.0	-	766	-	11907	-	-	-	-	-
