Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	    # c. interspecies translocations	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	    # s. interspecies translocations	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# structural variations	# possible TEs	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
sr-megahit-co	155	155	122	10	1	22	0	0	0	0	0	151	5505160	48	50	43	0	0	11	-	-	0	113597	3279	2688	591	29046
sr-metaspades-co	129	129	94	5	1	29	0	0	0	0	0	124	4961781	58	59	44	0	0	13	-	-	0	116773	4703	2884	1819	65298
