Branch	SequencesGe1kb	TotalLengthBp	LargestBp	N50Bp	L50	NBases	Misassemblies	MisassembledContigs	FullyUnalignedContigs	UnalignedLengthBp	GenomeFractionPct	DuplicationRatio	NsPer100Kbp	MismatchesPer100Kbp	IndelsPer100Kbp	LargestAlignmentBp	TotalAlignedLengthBp	NA50Bp	LA50	AssemblySHA256	RecoveredGenomesGe90Pct	FullGenomesGe99Pct
spades-short-only	20647	141314393	1630363	26020	774	131347	192	187	71	192990	59.717	1.003	92.95	73.69	7.58	1630363	140794966	25703	809	799ce599c4a26998924ccc68f95d23d23eaad71713bab7bb6b61b1f21859c164	37	12
spades-illumina-ont	11064	159368905	4637260	72626	259	287410	370	280	1075	4607758	64.653	1.01	180.34	163.7	97.21	3239829	154307853	65930	328	aeb76c91a4a48dbdb02a2c51f036933d555e9e49dfc30e432773ff37e5285b28	40	22
spades-illumina-hifi	9751	168451875	5489345	72242	296	863687	517	396	234	1084857	69.266	1.021	512.72	142.46	11.82	3238920	166312291	65182	370	3c2a4d2183d37abb441fcacbe9a4040c5fbd7933d64c2219b1d1825488372c1d	42	28
flye-ont	2423	143770812	7136817	441240	47	0	343	149	876	21062809	51.572	1.018	0	370.94	839.52	4357351	122160981	194794	108	b978d288927c0ec04dc105cdaee12e985d31e4ef0d8faceaa94dd42ae69a43b5	32	24
flye-ont-polypolish-default	2423	143898052	7146565	440931	47	0	350	160	717	16694156	53.149	1.019	0	296.44	481.12	4361376	126638101	198296	107	3589cfd0d1bec5906e5ed731ad506c163e546978e6ca59f897d5b61f8960f3e5	34	24
flye-ont-polypolish-careful	2423	143893598	7146324	440979	47	0	345	157	730	16941134	53.066	1.018	0	301.49	503.7	4361350	126398457	198300	107	e4aae1a284e59905d805ec9860305530d4cbe7d37fcd35f05988f09ac229fb69	34	24
flye-hifi	806	169457769	7147007	2013697	22	0	284	102	57	1157694	70.125	1.009	0	8.11	10.42	6602741	168209120	903979	42	e66c75daa5d556b5a793dcb845561e8c00643dc9dbf6aef534b2047d13a276f5	43	36
