Mode	LogBytes	AlignmentFiles	InputAlignments	InputMappedReads	HighQualityAlignmentsKept	HighQualityAlignmentsDiscarded	PolishedSequences	InputBases	OutputBases	ChangedPositions	CarefulFlagVisible
default	695194	2	23694097	19196129	20566025	3128072	2423	143770812	143898052	699811	no
careful	695797	2	23694097	19196129	16970894	6723203	2423	143770812	143893598	655264	yes
