Branch	Mode	Tool	ReadCount	Contigs	LargestContigBp	N50Bp	GenomeFractionPct	MismatchesPer100Kbp	IndelsPer100Kbp	FullyUnalignedContigs	FullyUnalignedLengthBp	FullGenomes99Pct
Published Illumina-only	short-only	SPAdes 3.14.1	2x10	40147	1599668	13707	61.897	47.55	3.53	975	620805	12
Published Illumina+ONT	short-read-first hybrid	SPAdes 3.14.1	2x10 (Illumina) + 0.696 (Minion)	16923	4121019	77301	66.357	192.42	98.36	809	844114	22
Published ONT-only	long-only	metaFlye 2.8.1	0.696	1283	4324150	759940	44.955	339.99	764.45	231	6279694	22
Published Illumina+HiFi	short-read-first hybrid	SPAdes 3.14.1	2x10 (Illumina) + 0.524 (PacBio)	12932	4637269	85671	70.63	129.9	7.95	415	330989	27
Published HiFi-only	long-only	metaFlye 2.8.1	0.524	437	7147004	2013697	68.197	18.3	11.76	6	134713	36
