Mode	Branch	DraftSequences	OutputSequences	CanonicalSharedSequenceIDs	LostCanonicalSequenceIDs	NewCanonicalSequenceIDs	CanonicalSequenceIDSetEqual	CanonicalSequenceOrderEqual	ExpectedPolypolishHeaderAnnotations	UnexpectedOutputHeaders	IdenticalSequences	ChangedSequences	DraftTotalBp	OutputTotalBp	LengthDeltaBp	DraftAssemblySHA256	OutputAssemblySHA256
default	flye-ont-polypolish-default	2423	2423	2423	0	0	yes	yes	2423	0	106	2317	143770812	143898052	127240	b978d288927c0ec04dc105cdaee12e985d31e4ef0d8faceaa94dd42ae69a43b5	3589cfd0d1bec5906e5ed731ad506c163e546978e6ca59f897d5b61f8960f3e5
careful	flye-ont-polypolish-careful	2423	2423	2423	0	0	yes	yes	2423	0	129	2294	143770812	143893598	122786	b978d288927c0ec04dc105cdaee12e985d31e4ef0d8faceaa94dd42ae69a43b5	e4aae1a284e59905d805ec9860305530d4cbe7d37fcd35f05988f09ac229fb69
