Tool	Version	LockedArtifact	OfficialSource	PrimaryRole
fastp	1.3.6	https://conda.anaconda.org/bioconda/linux-64/fastp-1.3.6-h43da1c4_0.conda	https://github.com/OpenGene/fastp	Paired-read quality filtering
SPAdes	4.3.0	https://conda.anaconda.org/bioconda/linux-64/spades-4.3.0-hde4eca7_0.conda	https://github.com/ablab/spades	Short-read-only and short-read-first hybrid metagenome assembly
Flye	2.9.6	https://conda.anaconda.org/bioconda/linux-64/flye-2.9.6-py310h5850263_1.conda	https://github.com/mikolmogorov/Flye	Checksum-locked full-read ONT and HiFi baseline assemblies
BWA	0.7.19	https://conda.anaconda.org/bioconda/linux-64/bwa-0.7.19-h577a1d6_1.tar.bz2	https://github.com/lh3/bwa	All-alignment short-read mapping for Polypolish
Polypolish	0.6.1	https://conda.anaconda.org/bioconda/linux-64/polypolish-0.6.1-h3ab6199_0.conda	https://github.com/rrwick/Polypolish	Default and careful long-read-first consensus polishing
MetaQUAST	5.3.0	https://conda.anaconda.org/bioconda/linux-64/quast-5.3.0-py310pl5321h5140242_1.tar.bz2	https://github.com/ablab/quast	Seventy-one-reference assembly audit
MetaQUAST bundled minimap2	2.28-r1209	https://conda.anaconda.org/bioconda/linux-64/quast-5.3.0-py310pl5321h5140242_1.tar.bz2	https://github.com/ablab/quast/tree/v5.3.0/quast_libs/minimap2	Reference alignment inside MetaQUAST; distinct from the standalone minimap2 2.31 package
Python	3.10.20	https://conda.anaconda.org/conda-forge/linux-64/python-3.10.20-h267e890_1_cpython.conda	https://www.python.org	Deterministic selection, truth preparation, and summaries
