Tool	Version	Executable
fastp	1.3.6	${HYBRID_ENV_PREFIX}/bin/fastp
SPAdes	4.3.0	${HYBRID_ENV_PREFIX}/bin/spades.py
BWA-MEM	0.7.19-r1273	${HYBRID_ENV_PREFIX}/bin/bwa
Polypolish	0.6.1	${HYBRID_ENV_PREFIX}/bin/polypolish
MetaQUAST	5.3.0	${HYBRID_ENV_PREFIX}/bin/metaquast.py
Python	3.10.20	${HYBRID_ENV_PREFIX}/bin/python
