Mate	Records	Bases	MinimumLength	MaximumLength	MeanLength	PairIDHash	CompressedBytes	CompressedSHA256
R1	9999320	1497590756	50	150	149.769259909674	f905674b3bda4f67997fdd3584308b4ddab164fdcacf5e2b2083afd5e3947e72	843284587	691e8190af5206a1b748212f8f0f785b2c9bf516b48920a4265250550baf0a52
R2	9999320	1481675707	50	150	148.177646779981	f905674b3bda4f67997fdd3584308b4ddab164fdcacf5e2b2083afd5e3947e72	1013512874	f02ad9333d405e0882ecba10dde870facc91fdb43cb1ba778b71244154d4a8ae
