Assembly	ParentBranch	SequencesGe1kb	TotalLengthBp	N50Bp	Misassemblies	GenomeFractionPct	MismatchesPer100Kbp	IndelsPer100Kbp
spades-short-only_broken	spades-short-only	22047	138420342	22015	170	58.69	71.16	3.41
spades-illumina-ont_broken	spades-illumina-ont	11873	158336020	62110	323	64.366	161.19	96.22
spades-illumina-hifi_broken	spades-illumina-hifi	10728	166997057	62786	458	68.95	135.41	10.68
