Branch	Contigs	Bases	CompressedBytes	CompressedSHA256
spades-short-only	20647	141314393	42269964	6c31888fdd73e0d0ca8bb18cf9fc1eca30f8e3ab217c573196934491024565de
spades-illumina-ont	11064	159368905	47229807	abd95181b62d56927bca23ed01e53d8ccb1bb70eb4bc55657fb98e9cb9f9b666
spades-illumina-hifi	9751	168451875	49723069	67fafcb2bdb04a0f09d64bc55eb909ea313bb1a3089681d1782bd6d1dcd44d2f
flye-ont	2423	143770812	42305013	a8729310ea74377fa2f343ddf089c2d0ec3b6c73b5548c7e71d3f517458c9a65
flye-ont-polypolish-default	2423	143898052	42352321	9edc56e0b566f2dd475a25874bf146fab6f35e85c720927452bd6756d140113b
flye-ont-polypolish-careful	2423	143893598	42356289	80e3353c7a90c0e075a074117ead0397f0e8a2271f0ddadef846eba57e8eb4ea
flye-hifi	806	169457769	49598380	f2a3c5482381759887413aeb6a2841b4805d0f3b13f3ed5c3cf6d32075ed6f17
