Sample	Completeness	CatalogGenes	DetectedGenes	AssignedReads	CPM	TPM
MOCK1	Complete	64849.0	63669.0	2485307.0	892635.8201214753	875131.329529513
MOCK1	Incomplete	1809.0	1794.0	34896.0	12533.429302278464	7848.481074662652
MOCK1	Partial	27124.0	23382.0	264031.0	94830.75057627629	117020.1893958173
MOCK2	Complete	64849.0	63657.0	2481108.0	893306.5413045782	875992.9954906476
MOCK2	Incomplete	1809.0	1790.0	34980.0	12594.317867189353	7898.36826395978
MOCK2	Partial	27124.0	23372.0	261355.0	94099.14082843527	116108.63624538507
