Sample	SelectedForwardReads	AssignedReads	AssignedPct	DetectedGenes	NotAligned	NoFeature	AmbiguousFeature	TooLowMAPQ	AlignmentNotUnique	BowtieReportsOneAlignment	MAPQThreshold
MOCK1	10000	8378	83.78	7414	1622	0	0	0	0	yes	0
MOCK2	10000	8345	83.45	7400	1655	0	0	0	0	yes	0
