Sample	AssignedReads	DetectedGenes	RawCountSum	CPMSum	RPKMSum	TPMSum	RPKSum	CPMClosureError	TPMClosureError
MOCK1	2784234	88845	2784234	1000000.0000000711	1045533.2150755009	999999.9999999964	2911009.125542658	7.112976163625717e-08	3.6088749766349792e-09
MOCK2	2777443	88819	2777443	1000000.000000421	1045256.2561908716	999999.9999999874	2903139.671963509	4.209578037261963e-07	1.257285475730896e-08
