Sample	Reaction	EC	GenesContributing	SplitReadEquivalent	CopyReadEquivalent	SplitCPM	SplitTPM	CopyCPM	CopyTPM
MOCK1	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	2.3.1.51	16	14.931034482758621	433.0	5.362708192902831	7.224957641581072	155.5185375941821	209.52377160585107
MOCK1	1.1.1.136-RXN	1.1.1.136	2	59.0	118.0	21.190747616759225	16.174555192283314	42.38149523351845	32.34911038456663
MOCK1	1.1.1.145-RXN	1.1.1.145	1	3.7142857142857144	26.0	1.3340422228468276	1.2546159029243864	9.338295559927793	8.782311320470704
MOCK1	1.1.1.255-RXN	1.1.1.255	1	18.0	18.0	6.46497384918078	5.888974030495849	6.46497384918078	5.888974030495849
MOCK1	1.1.1.261-RXN	1.1.1.261	11	537.0	537.0	192.87171983389328	178.917284337219	192.87171983389328	178.917284337219
MOCK1	1.1.1.264-RXN	1.1.1.264	1	16.0	32.0	5.746643421494027	5.420488916958703	11.493286842988054	10.840977833917407
MOCK1	1.1.1.271-RXN	1.1.1.271	10	138.0	138.0	49.564799510385974	66.92559572236458	49.564799510385974	66.92559572236458
MOCK1	1.1.1.272-RXN	1.1.1.272	2	1.0	3.0	0.3591652138433767	1.5714414621412933	1.07749564153013	4.714324386423879
MOCK1	1.1.1.274-RXN	1.1.1.274	3	85.0	85.0	30.52904317668702	34.6367510510906	30.52904317668702	34.6367510510906
MOCK1	1.1.1.34-RXN	1.1.1.34	12	534.0	534.0	191.79422419236315	171.24773679386732	191.79422419236315	171.24773679386732
MOCK1	1.1.1.39-RXN	1.1.1.38	11	375.5	710.0	134.86653779818795	107.69135163101258	255.0073018287974	199.47650058465348
MOCK1	1.1.1.83-RXN	1.1.1.83	3	29.875	186.0	10.73006076357088	9.652352174203541	66.80472977486806	61.33160560396893
MOCK1	1.12.1.3-RXN	1.12.1.3	2	9.0	9.0	3.2324869245903898	7.52691544247404	3.2324869245903898	7.52691544247404
MOCK1	1.12.5.1-RXN	1.12.5.1	3	64.0	128.0	22.986573685976104	16.766756116638703	45.97314737195221	33.533512233277406
MOCK1	1.13.11.9-RXN	1.13.11.9	2	7.0	7.0	2.5141564969036367	5.000747879774791	2.5141564969036367	5.000747879774791
MOCK1	1.14.12.18-RXN	1.14.12.18	1	3.3333333333333335	10.0	1.1972173794779222	1.5772428150241409	3.5916521384337665	4.731728445072423
MOCK1	1.14.13.59-RXN	1.14.13.59	1	45.0	45.0	16.16243462295195	10.264645969489775	16.16243462295195	10.264645969489775
MOCK1	1.14.19.1-RXN	1.14.19.1	2	15.0	30.0	5.38747820765065	6.081059673325575	10.7749564153013	12.16211934665115
MOCK1	1.15.1.2-RXN	1.15.1.2	5	130.0	130.0	46.691477799638974	119.87943018417411	46.691477799638974	119.87943018417411
MOCK1	1.17.4.2-RXN	1.17.4.2	16	924.2	2017.0	331.94049063404873	89.97237899505241	724.4362363220906	279.57155512521075
MOCK1	1.18.1.2-RXN	1.18.1.2	12	241.0	241.0	86.55881653625377	84.92340749290216	86.55881653625377	84.92340749290216
MOCK1	1.2.1.2-RXN	1.17.1.9	3	297.5	360.0	106.85165111840456	93.47496374069037	129.2994769836156	112.30848814377468
MOCK1	1.2.1.25-RXN	1.2.1.25	1	1.0	6.0	0.3591652138433767	0.602672780898698	2.15499128306026	3.616036685392188
MOCK1	1.2.1.27-RXN	1.2.1.27	7	88.0	183.0	31.606538818217143	25.654721474023784	65.72723413333793	53.76819999895329
MOCK1	1.2.1.58-RXN	1.2.1.58	1	23.0	23.0	8.260799918397664	15.04960030015606	8.260799918397664	15.04960030015606
MOCK1	1.2.1.67-RXN	1.2.1.67	1	5.0	15.0	1.7958260692168835	1.5558128854721822	5.38747820765065	4.667438656416547
MOCK1	1.2.4.4-RXN	1.2.4.4	4	28.666666666666664	89.0	10.29606946351013	9.74088608747988	31.965704032060522	31.030676605135735
MOCK1	1.2.7.4-RXN	1.2.7.4	16	1224.5	1304.0	439.7978043512147	262.0329673843064	468.3514388517632	316.0650950564584
MOCK1	1.2.7.5-RXN	1.2.7.5	16	86.85714285714286	608.0	31.196064288110428	19.164952076179404	218.37245001677303	134.15466453325584
MOCK1	1.2.7.7-RXN	1.2.7.7	13	109.98333333333333	469.0	39.50218743587405	44.55943318738538	168.4484852925437	193.5940381051946
MOCK1	1.2.7.8-RXN	1.2.7.8	24	1033.0	1033.0	371.0176659002081	256.487249734622	371.0176659002081	256.487249734622
MOCK1	1.2.99.3-RXN	1.2.5.2	2	14.0	14.0	5.0283129938072735	5.113414854462041	5.0283129938072735	5.113414854462041
MOCK1	1.2.99.7-RXN	1.2.99.7	2	16.0	16.0	5.746643421494027	8.823002997078504	5.746643421494027	8.823002997078504
MOCK1	1.3.1.2-RXN	1.3.1.2	2	3.5	14.0	1.2570782484518184	1.6432196839644726	5.0283129938072735	6.57287873585789
MOCK1	1.3.1.54-RXN	1.3.1.54	3	73.0	73.0	26.219060610566494	31.799173535905844	26.219060610566494	31.799173535905844
MOCK1	1.3.7.5-RXN	1.3.7.5	1	1.0	1.0	0.3591652138433767	1.590386505149342	0.3591652138433767	1.590386505149342
MOCK1	1.3.99.16-RXN	1.3.99.16	3	148.0	148.0	53.15645164881974	38.40862330892955	53.15645164881974	38.40862330892955
MOCK1	1.4.1.11-RXN	1.4.1.11	1	26.0	26.0	9.338295559927793	8.604634501848462	9.338295559927793	8.604634501848462
MOCK1	1.4.1.21-RXN	1.4.1.21	6	347.0	347.0	124.6303292036517	157.4417938897907	124.6303292036517	157.4417938897907
MOCK1	1.4.3.19-RXN	1.4.3.19,1.4.3.3	3	10.6	58.0	3.8071512667397926	3.2869424789804893	20.83158240291585	17.9551429210559
MOCK1	1.5.1.15-RXN	1.5.1.15	1	9.0	9.0	3.23248692459039	3.761206041375086	3.23248692459039	3.761206041375086
MOCK1	1.5.1.20-RXN	1.5.1.20	16	545.0	545.0	195.74504154464026	220.7511715940646	195.74504154464026	220.7511715940646
MOCK1	1.5.1.34-RXN	1.5.1.34	2	10.666666666666668	32.0	3.8310956143293513	5.6935489126685	11.493286842988054	17.0806467380055
MOCK1	1.5.1.7-RXN	1.5.1.7	2	8.0	8.0	2.8733217107470135	6.612208609138234	2.8733217107470135	6.612208609138234
MOCK1	1.5.5.1-RXN-YEAST	1.5.5.1	5	88.0	176.0	31.606538818217146	18.929484191335604	63.21307763643429	37.85896838267121
MOCK1	1.5.99.9-RXN	1.5.98.1	4	114.0	228.0	40.94483437814494	47.04879777251462	81.88966875628988	94.09759554502924
MOCK1	1.6.4.4-RXN	1.8.1.8	14	361.0	361.0	129.658642197459	79.20742615429691	129.658642197459	79.20742615429691
MOCK1	1.6.4.9-RXN	1.8.1.13	1	39.0	39.0	14.00744333989169	9.750666607989851	14.00744333989169	9.750666607989851
MOCK1	1.7.2.2-RXN	1.7.2.2	9	98.5	197.0	35.3777735635726	27.068911500959786	70.7555471271452	54.13782300191957
MOCK1	1.7.2.3-RXN	1.7.2.3	1	26.0	78.0	9.338295559927793	3.586992214023576	28.01488667978338	10.760976642070728
MOCK1	1.8.1.4-RXN	1.8.1.4	36	449.4	1763.0	161.40884710121352	119.64973169795852	633.208272005873	456.86654386876125
MOCK1	1.8.4.12-RXN	1.8.4.12	10	134.5	176.0	48.30772126193416	72.53126902063485	63.21307763643429	86.01601339932515
MOCK1	1.8.4.14-RXN	1.8.4.14	1	13.0	13.0	4.669147779963897	9.729423325619502	4.669147779963897	9.729423325619502
MOCK1	1.8.4.8-RXN	1.8.4.8	9	108.0	108.0	38.78984309508468	46.03625471408628	38.78984309508468	46.03625471408628
MOCK1	1.8.98.1-RXN	1.8.98.1	9	318.0	318.0	114.21453800219378	116.35704875304512	114.21453800219378	116.35704875304512
MOCK1	12-OXOPHYTODIENOATE-REDUCTASE-RXN	1.3.1.42	2	32.0	32.0	11.493286842988054	12.112070042115974	11.493286842988054	12.112070042115974
MOCK1	1PFRUCTPHOSN-RXN	2.7.1.56	3	37.0	37.0	13.289112912204939	15.944296378305811	13.289112912204939	15.944296378305811
MOCK1	1TRANSKETO-RXN	2.2.1.1	29	425.5	851.0	152.82479849035678	132.30420710397647	305.64959698071357	264.60841420795293
MOCK1	2-DEHYDROPANTOATE-REDUCT-RXN	1.1.1.169	19	409.0	409.0	146.89857246194106	169.92228848339852	146.89857246194106	169.92228848339852
MOCK1	2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN	1.1.99.2	1	19.0	19.0	6.824139063024156	6.417842888036283	6.824139063024156	6.417842888036283
MOCK1	2-ISOPROPYLMALATESYN-RXN	2.3.3.13	40	2224.0	2334.0	798.7834355876697	544.6301717996166	838.2916091104413	570.2315155410449
MOCK1	2-METHYLCITRATE-DEHYDRATASE-RXN	4.2.1.79	2	11.0	11.0	3.9508173522771433	6.1473293660317445	3.9508173522771433	6.1473293660317445
MOCK1	2-METHYLCITRATE-SYNTHASE-RXN	2.3.3.5	2	41.5	83.0	14.905356374500132	15.409143157514393	29.810712749000263	30.818286315028786
