Sample	CatalogGenes	GenesWithUniRef90Hit	GenesWithReaction	MultiReactionGenes	AssignedReads	AssignedReadsWithUniRef90Hit	AssignedReadsWithReaction	AssignedReadPctWithReaction	SplitReadEquivalentSum	CopyReadEquivalentSum	CopyReadInflation	GeneCPMSum	SplitCPMSum	CopyCPMSum	CopyCPMInflation	GeneTPMSum	SplitTPMSum	CopyTPMSum	CopyTPMInflation
MOCK1	93782	89339	15392	4488	2784234	2752841	596658	21.429879816136143	2784233.999999997	3375534.0	1.2123743909455897	1000000.0000000711	1000000.0000000475	1212374.3909456257	1.2123743909455682	999999.9999999964	999999.9999999955	1185720.3037074748	1.1857203037074802
MOCK2	93782	89339	15392	4488	2777443	2746713	594503	21.404687692960756	2777442.999999984	3368987.0	1.212981508531415	1000000.000000421	1000000.0000002614	1212981.5085316787	1.2129815085313618	999999.9999999874	999999.9999999858	1187023.413064732	1.1870234130647488
