AssetID	File	ExpectedBytes	ObservedBytes	ExpectedSHA256	ObservedSHA256	ChecksumPass
iphop-primary-xml	PMC10155999.xml	260284	260284	c2194569972cc1572a0d709e58916c69fd7f1603c7f4645098194d641319e378	c2194569972cc1572a0d709e58916c69fd7f1603c7f4645098194d641319e378	True
miuvig-primary-xml	PMC6871006.xml	183966	183966	289c221ece18f17a0a8930a354cfc3e01b712751abfdd52ff7b054c6f31c36fa	289c221ece18f17a0a8930a354cfc3e01b712751abfdd52ff7b054c6f31c36fa	True
