Metric	Count	Percent	Denominator	ValueStatus
Eukaryotic viruses tested	8128	100.0	all eukaryotic-virus controls	reported
Erroneous prokaryotic-host predictions	1018	12.524606	all eukaryotic-virus controls	count reported; percent derived
Errors originating from k-mer comparison		85.0	erroneous predictions	reported percentage
Errors with iPHoP score below 90		90.0	erroneous predictions	reported percentage
Riboviria among errors	640	62.868369	erroneous predictions	count reported; percent derived
Monodnaviria among errors	155	15.225933	erroneous predictions	count reported; percent derived
