Feature	PathwayID	Description	Subjects	MedianLog2RNAoverDNA	MeanLog2RNAoverDNA	CILow	CIHigh	PValue	QValue	BH05
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	PWY0-1297	superpathway of purine deoxyribonucleosides degradation	101	0.44533914888311976	0.45687078770741557	0.2262245665992817	0.6379512003458205	7.69948410268292e-06	1.2307508679288606e-05	True
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	97	0.08022979522247237	0.19153632101987128	-0.20030584609600072	0.44090752277233736	0.14653290452971446	0.16622818739661158	False
PWY0-1319: CDP-diacylglycerol biosynthesis II	PWY0-1319	CDP-diacylglycerol biosynthesis II	103	0.01318294484800777	-0.003844318628591091	-0.11455432076955478	0.1026493998801222	0.817863082431044	0.8217576685378586	False
PWY0-1479: tRNA processing	PWY0-1479	tRNA processing	82	1.1232488802464342	1.0571594871967103	0.745842505286731	1.4226918729713809	1.779553769842358e-09	3.6812337787915445e-09	True
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	103	-1.4211890117118262	-1.286999763618951	-1.5760294436068891	-1.1426946942406881	3.3962801635351954e-17	2.471086601744573e-16	True
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	103	0.6328401468409631	0.5831297245403742	0.4934055385709007	0.7642163475909808	3.5291997697508217e-11	8.183089576015641e-11	True
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	103	-0.09583589600501279	-0.1310710845726076	-0.21324546211857312	-0.017775630052142884	0.018330591578605126	0.02302235013741477	True
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	101	-0.12307727780517003	-0.15600304095618997	-0.3205148817587403	0.03568550824978506	0.1347470756147707	0.15455637768250052	False
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	PWY0-862	(5Z)-dodec-5-enoate biosynthesis	99	1.192837333819118	1.2637550318059716	0.9239433047888891	1.4053333134285098	1.1337410140936153e-12	3.147623078602011e-12	True
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	102	-0.39971766528614244	-0.351577671389412	-0.6183238948125342	-0.15181935790401366	4.3585190506090284e-05	6.433530334323063e-05	True
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	102	-0.39971766528614244	-0.35157708171127	-0.6123534476719921	-0.15181935790401366	4.3585190506090284e-05	6.433530334323063e-05	True
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	PWY4LZ-257	superpathway of fermentation (Chlamydomonas reinhardtii)	88	0.9466459235624016	1.203159835867485	0.7797814033663584	1.353167487322359	1.8364366278157794e-10	4.036334671553432e-10	True
PWY66-399: gluconeogenesis III	PWY66-399	gluconeogenesis III	102	2.409732656908237	2.4995715403936902	2.2424930226902378	2.585891637447022	3.1951490991955707e-18	3.7332158825056757e-17	True
