Diagnosis	Subjects	MedianSpearmanRho	CILow	CIHigh
All	104	0.7931967768969652	0.7795245724856326	0.8055208275107354
Control	26	0.787482241210164	0.7721359521554582	0.8098532480074967
CD	50	0.7913964485976233	0.7732227434549392	0.8055313232519727
UC	28	0.8045631344682127	0.7722319639607953	0.8147268178943305
