Purpose	RelativePath	Bytes	MD5	URL
Archaea metadata	ar53_metadata_r232.tsv.gz	7015869	0f51fe6f01b4ccbf0d9bab6c07df87af	https://data.gtdb.ecogenomic.org/releases/release232/232.0/ar53_metadata_r232.tsv.gz
Archaea taxonomy	ar53_taxonomy_r232.tsv.gz	311583	9fa569a0804c46e4ba8dcd85a5bc5240	https://data.gtdb.ecogenomic.org/releases/release232/232.0/ar53_taxonomy_r232.tsv.gz
Bacteria metadata	bac120_metadata_r232.tsv.gz	289043801	0ba4237077b65cfc5556e1d8be797485	https://data.gtdb.ecogenomic.org/releases/release232/232.0/bac120_metadata_r232.tsv.gz
Bacteria taxonomy	bac120_taxonomy_r232.tsv.gz	9886191	807e3221f5553142eb0544ce3247d079	https://data.gtdb.ecogenomic.org/releases/release232/232.0/bac120_taxonomy_r232.tsv.gz
GTDB-Tk full reference package	auxillary_files/gtdbtk_package/full_package/gtdbtk_r232_data.tar.gz	60806405195	25a59e0352b1fd150c589f56559767d4	https://data.gtdb.ecogenomic.org/releases/release232/232.0/auxillary_files/gtdbtk_package/full_package/gtdbtk_r232_data.tar.gz
