Field	Available	Total	CompletenessPct	AnalysisUse
Coordinates	136	136	100	Geographic coverage and spatial strata
Numeric depth	135	136	99.26470588	Scalar depth for modeling and comparability
Sampling site	136	136	100	Station-level blocking and repeated visits
Protocol label	136	136	100	DNA/RNA and size-fraction eligibility
Collection date	136	136	100	Seasonality and temporal ordering
Environment feature	136	136	100	ENVO-informed habitat layer
Environment material	136	136	100	What physical material was sampled
Temperature	0	136	0	Environmental covariate
Salinity	0	136	0	Environmental covariate
