Object	IdentifierPattern	Count	Role
MGnify study	MGYS00000410	1	Discovery and grouped downloads
ENA project IDs	PRJEB1787; ERP001736	2	Archive identity
Related BioSamples	SAMEA / ERS	136	Specimen metadata
Sequencing runs	ERR	249	Technical sequencing unit
MGnify analyses	MGYA	249	Pipeline result unit
DNA-labelled samples	protocol NUC-DNA	89	Shotgun-DNA eligibility
RNA-labelled samples	protocol NUC-RNA	47	Exclude or analyze separately
Study summary downloads	ERP001736 aliases	6	Legacy V2/V3 summary outputs
