Alias	DownloadType	DownloadGroup	ShortDescription	URL
ERP001736_IPR_abundances_v2.0.tsv	Functional analysis	study_summary.v2.0.functional_analysis	InterPro matches	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_results/ERP001/ERP001736/version_2.0/project-summary/IPR_abundances_v2.0.tsv
ERP001736_GO_abundances_v2.0.tsv	Functional analysis	study_summary.v2.0.functional_analysis	Complete GO annotation	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_results/ERP001/ERP001736/version_2.0/project-summary/GO_abundances_v2.0.tsv
ERP001736_GO-slim_abundances_v2.0.tsv	Functional analysis	study_summary.v2.0.functional_analysis	GO slim annotation	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_results/ERP001/ERP001736/version_2.0/project-summary/GO-slim_abundances_v2.0.tsv
ERP001736_taxonomy_abundances_v2.0.tsv	Taxonomic analysis	study_summary.v2.0.taxonomic_analysis	Taxonomic assignments	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_results/ERP001/ERP001736/version_2.0/project-summary/taxonomy_abundances_v2.0.tsv
ERP001736_phylum_taxonomy_abundances_v2.0.tsv	Taxonomic analysis	study_summary.v2.0.taxonomic_analysis	Phylum level taxonomies	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_results/ERP001/ERP001736/version_2.0/project-summary/phylum_taxonomy_abundances_v2.0.tsv
ERP001736_diversity_v3.0.tsv	Statistics	study_summary.v3.0.statistics	Taxonomic diversity metrics	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_results/ERP001/ERP001736/version_3.0/project-summary/diversity.tsv
