Dataset	FeatureSpace	RepositoryID	Samples	IndependentUnits	FrozenFeatures	PrimaryFeatures	NativeScale	PrimaryDenominator	Relationship
AsnicarF_2017	Species	EH7091	24	15	298	298	Percent	Observed species	Sample-matched human branch
AsnicarF_2017	Gene families	EH7086	24	15	415581	178928	Relative fraction	Filtered ordinary gene families	Sample-matched human branch
Western US hot springs	MAG catalog	Figshare 61153444	500	56	780	780	Catalog-relative fraction	Recovered MAG catalog	Independent environmental branch
