Dataset	FeatureSpace	SampleID	Axis1	Axis2	Axis1Variance	Axis2Variance	NegativeEigenvalues	NegativeEigenvalueMass	Correction	CorrectionNote	SubjectID	FamilyRole	AgeCategory	DaysFromFirstCollection	HotSpring	Temperature
AsnicarF_2017	Species	MV_MIM4_t1M14	-0.0944600967283531	-0.0313855866621695	0.157975345231833	0.134247599331119	3	0.0771412060524553	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.147228062835346 )^2, except diagonal elements	MV_MIM4		adult			
AsnicarF_2017	Species	MV_MIM4_t2F15	-0.180805660374739	-0.147184271372959	0.157975345231833	0.134247599331119	3	0.0771412060524553	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.147228062835346 )^2, except diagonal elements	MV_MIM4		adult			
AsnicarF_2017	Species	MV_MIM5_t1M14	-0.171341734100911	-0.289626638961487	0.157975345231833	0.134247599331119	3	0.0771412060524553	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.147228062835346 )^2, except diagonal elements	MV_MIM5		adult			
AsnicarF_2017	Species	MV_MIM5_t2M14	-0.207532364761794	-0.235654717358931	0.157975345231833	0.134247599331119	3	0.0771412060524553	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.147228062835346 )^2, except diagonal elements	MV_MIM5		adult			
AsnicarF_2017	Species	MV_MIM5_t3F15	-0.177097546258375	-0.173429286728081	0.157975345231833	0.134247599331119	3	0.0771412060524553	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.147228062835346 )^2, except diagonal elements	MV_MIM5		adult			
AsnicarF_2017	Gene families	MV_FEI1_t1Q14	-0.0876374143740219	-0.555251801217449	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEI1		newborn			
AsnicarF_2017	Gene families	MV_FEI2_t1Q14	-0.0670213436839005	-0.261906463424567	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEI2		newborn			
AsnicarF_2017	Gene families	MV_FEI3_t1Q14	-0.0572371759925426	-0.519345360420062	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEI3		newborn			
AsnicarF_2017	Gene families	MV_FEI4_t1Q14	-0.205118877369663	-0.420787926601024	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEI4		child			
AsnicarF_2017	Gene families	MV_FEI4_t2Q15	-0.247891896800411	-0.216288085259502	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEI4		child			
