Habitat	FeatureID	PrevalenceAllSamples	OperationalCoreAllSamples	PrevalenceRepresentatives	OperationalCoreRepresentatives	AbsolutePrevalenceDifference	CoreClassificationChanged
Anterior nares	SP0042	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0043	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0044	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0045	0.0645161290322581	FALSE	0.0810810810810811	FALSE	0.016564952048823	FALSE
Anterior nares	SP0046	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0047	0.193548387096774	FALSE	0.216216216216216	FALSE	0.022667829119442	FALSE
Anterior nares	SP0048	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0049	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0050	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0051	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0052	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0053	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0054	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0055	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0056	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0057	0.043010752688172	FALSE	0.0540540540540541	FALSE	0.011043301365882	FALSE
Anterior nares	SP0058	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0059	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0060	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0061	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0062	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0063	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0064	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0065	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0066	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0067	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0068	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0069	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0070	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0071	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0072	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0073	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0074	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0075	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0076	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0077	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0078	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0079	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0080	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0081	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0082	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0083	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0084	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0085	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0086	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0087	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0088	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0089	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0090	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0091	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0092	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0093	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0094	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0095	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0096	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0097	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0098	0.333333333333333	FALSE	0.378378378378378	FALSE	0.0450450450450451	FALSE
Anterior nares	SP0099	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0100	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0101	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0102	0.0537634408602151	FALSE	0.0675675675675676	FALSE	0.0138041267073525	FALSE
Anterior nares	SP0103	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0104	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0105	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0106	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0107	0.0860215053763441	FALSE	0.108108108108108	FALSE	0.022086602731764	FALSE
Anterior nares	SP0108	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0109	0.0645161290322581	FALSE	0.0810810810810811	FALSE	0.016564952048823	FALSE
Anterior nares	SP0110	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0111	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0112	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0113	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0114	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0115	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0116	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0117	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0118	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0119	0.043010752688172	FALSE	0.0540540540540541	FALSE	0.011043301365882	FALSE
Anterior nares	SP0120	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0121	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0122	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0123	0.0537634408602151	FALSE	0.0675675675675676	FALSE	0.0138041267073525	FALSE
Anterior nares	SP0124	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0125	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0126	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0127	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0128	0.0860215053763441	FALSE	0.0945945945945946	FALSE	0.00857308921825051	FALSE
Anterior nares	SP0129	0.150537634408602	FALSE	0.189189189189189	FALSE	0.038651554780587	FALSE
Anterior nares	SP0130	0.032258064516129	FALSE	0.027027027027027	FALSE	0.005231037489102	FALSE
Anterior nares	SP0131	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0132	0.139784946236559	FALSE	0.175675675675676	FALSE	0.0358907294391166	FALSE
Anterior nares	SP0133	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0134	0.0537634408602151	FALSE	0.0675675675675676	FALSE	0.0138041267073525	FALSE
Anterior nares	SP0135	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0136	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0137	0.0645161290322581	FALSE	0.0810810810810811	FALSE	0.016564952048823	FALSE
Anterior nares	SP0138	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0139	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0140	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0141	0.118279569892473	FALSE	0.148648648648649	FALSE	0.0303690787561755	FALSE
Anterior nares	SP0142	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0143	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0144	0.258064516129032	FALSE	0.283783783783784	FALSE	0.0257192676547515	FALSE
Anterior nares	SP0145	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0146	0.139784946236559	FALSE	0.175675675675676	FALSE	0.0358907294391166	FALSE
Anterior nares	SP0147	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0148	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0149	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0150	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0151	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0152	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0153	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0154	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0155	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0156	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0157	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0158	0.10752688172043	FALSE	0.135135135135135	FALSE	0.027608253414705	FALSE
Anterior nares	SP0159	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0160	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0161	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0162	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0163	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0164	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0165	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0166	0.043010752688172	FALSE	0.0540540540540541	FALSE	0.011043301365882	FALSE
Anterior nares	SP0167	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0168	0.0537634408602151	FALSE	0.0675675675675676	FALSE	0.0138041267073525	FALSE
Anterior nares	SP0169	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0170	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0171	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0172	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0173	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0174	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0175	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0176	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0177	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0178	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0179	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0180	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0181	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0182	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0183	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0184	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0185	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0186	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0187	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0188	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0189	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0190	0.043010752688172	FALSE	0.0540540540540541	FALSE	0.011043301365882	FALSE
Anterior nares	SP0191	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0192	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0193	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0194	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0195	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0196	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0197	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0198	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0199	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0200	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0201	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0202	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0203	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0204	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0205	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0206	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0207	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0208	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0209	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0210	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0211	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0212	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0213	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0214	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0215	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0216	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0217	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0218	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0219	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0220	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0221	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0222	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0223	0.838709677419355	TRUE	0.864864864864865	TRUE	0.02615518744551	FALSE
Anterior nares	SP0224	0.978494623655914	TRUE	0.972972972972973	TRUE	0.00552165068294097	FALSE
Anterior nares	SP0225	0.752688172043011	FALSE	0.72972972972973	FALSE	0.022958442313281	FALSE
Anterior nares	SP0226	0.032258064516129	FALSE	0.0405405405405405	FALSE	0.00828247602441151	FALSE
Anterior nares	SP0227	0.0752688172043011	FALSE	0.0810810810810811	FALSE	0.00581226387678001	FALSE
Anterior nares	SP0228	0.0860215053763441	FALSE	0.108108108108108	FALSE	0.022086602731764	FALSE
Anterior nares	SP0229	0.043010752688172	FALSE	0.0405405405405405	FALSE	0.0024702121476315	FALSE
Anterior nares	SP0230	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0231	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0232	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0233	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0234	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0235	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0236	0.043010752688172	FALSE	0.0540540540540541	FALSE	0.011043301365882	FALSE
Anterior nares	SP0237	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0238	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0239	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0240	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0241	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0242	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0243	0.043010752688172	FALSE	0.0405405405405405	FALSE	0.0024702121476315	FALSE
Anterior nares	SP0244	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0245	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0246	0.10752688172043	FALSE	0.135135135135135	FALSE	0.027608253414705	FALSE
Anterior nares	SP0247	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0248	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0249	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0250	0.021505376344086	FALSE	0.027027027027027	FALSE	0.00552165068294101	FALSE
Anterior nares	SP0251	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0252	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0253	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0254	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0255	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0256	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0257	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0258	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0259	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0260	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0261	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0262	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0263	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0264	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0265	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0266	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0267	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0268	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0269	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0270	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0271	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0272	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0273	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0274	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0275	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0276	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0277	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0278	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0279	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0280	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0281	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0282	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0283	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0284	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0285	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0286	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0287	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0288	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0289	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0290	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0291	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0292	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0293	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0294	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0295	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0296	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0297	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0298	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0299	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0300	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0301	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0302	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0303	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0304	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0305	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0306	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0307	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0308	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0309	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0310	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0311	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0312	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0313	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0314	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0315	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0316	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0317	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0318	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0319	0	FALSE	0	FALSE	0	FALSE
