Rank	Habitat	Subjects	FeatureID	Label	Phylum	MeanRelativeAbundance	MedianRelativeAbundance	DetectionPrevalence
Phylum	Tongue dorsum	90	PH0008	Fusobacteria	Fusobacteria	0.0831171546058563	0.067201	1
Phylum	Tongue dorsum	90	PH0009	Tenericutes	Tenericutes	0	0	0
Phylum	Tongue dorsum	90	PH0010	Spirochaetes	Spirochaetes	0.000186124443805778	0.0000170999989600001	0.611111111111111
Phylum	Tongue dorsum	90	PH0011	Euryarchaeota	Euryarchaeota	0	0	0
Phylum	Tongue dorsum	90	PH0012	Ascomycota	Ascomycota	0.000000655555495000006	0	0.0222222222222222
Phylum	Tongue dorsum	90	PH0013	Basidiomycota	Basidiomycota	0	0	0
Phylum	Tongue dorsum	90	PH0014	Chloroflexi	Chloroflexi	0.000000288888886888889	0	0.0333333333333333
Phylum	Tongue dorsum	90	PH0015	Chlamydiae	Chlamydiae	0.000000336666654000001	0	0.0222222222222222
Phylum	Tongue dorsum	90	PH0016	Eukaryota unclassified	Eukaryota unclassified	0	0	0
Phylum	Tongue dorsum	90	PH0017	Candidatus Melainabacteria	Candidatus Melainabacteria	0	0	0
Phylum	Tongue dorsum	90	PH0018	Cyanobacteria	Cyanobacteria	0	0	0
Phylum	Supragingival plaque	88	PH0001	Bacteroidetes	Bacteroidetes	0.150718428355073	0.139324257018791	1
Phylum	Supragingival plaque	88	PH0002	Firmicutes	Firmicutes	0.187326213275189	0.175002508757391	1
Phylum	Supragingival plaque	88	PH0003	Proteobacteria	Proteobacteria	0.202666137639225	0.182022940751531	1
Phylum	Supragingival plaque	88	PH0004	Verrucomicrobia	Verrucomicrobia	0.000027434088165682	0	0.0113636363636364
Phylum	Supragingival plaque	88	PH0005	Lentisphaerae	Lentisphaerae	0	0	0
Phylum	Supragingival plaque	88	PH0006	Actinobacteria	Actinobacteria	0.415219801723261	0.394766400892194	1
Phylum	Supragingival plaque	88	PH0007	Synergistetes	Synergistetes	0.000163937493525342	0	0.397727272727273
Phylum	Supragingival plaque	88	PH0008	Fusobacteria	Fusobacteria	0.0392263032829422	0.0298784001048403	1
Phylum	Supragingival plaque	88	PH0009	Tenericutes	Tenericutes	0	0	0
Phylum	Supragingival plaque	88	PH0010	Spirochaetes	Spirochaetes	0.00455937027637787	0.000626849972445003	0.715909090909091
Phylum	Supragingival plaque	88	PH0011	Euryarchaeota	Euryarchaeota	0	0	0
Phylum	Supragingival plaque	88	PH0012	Ascomycota	Ascomycota	0.0000851352301925005	0	0.102272727272727
Phylum	Supragingival plaque	88	PH0013	Basidiomycota	Basidiomycota	0	0	0
Phylum	Supragingival plaque	88	PH0014	Chloroflexi	Chloroflexi	0.00000462840900181823	0	0.0454545454545455
Phylum	Supragingival plaque	88	PH0015	Chlamydiae	Chlamydiae	0.00000261022704602275	0	0.0227272727272727
