Assertion	Pass	Source
vOTU threshold	True	PMC6871006
high-quality draft threshold	True	PMC6871006
finished requires manual review	True	PMC6871006
amplified datasets nonquantitative	True	PMC6871006
virus-enriched workflow	True	PMC6871006
