AssetID	File	ExpectedBytes	ObservedBytes	ExpectedSHA256	ObservedSHA256	ChecksumPass
miuvig-jats	PMC6871006.xml	183966	183966	289c221ece18f17a0a8930a354cfc3e01b712751abfdd52ff7b054c6f31c36fa	289c221ece18f17a0a8930a354cfc3e01b712751abfdd52ff7b054c6f31c36fa	True
checkv-regression-input	checkv-test-sequences.fna	910376	910376	4347d1f5f52d4e2b6986845afb8e401fd146bb5a9628768e0ba125ec380144f5	4347d1f5f52d4e2b6986845afb8e401fd146bb5a9628768e0ba125ec380144f5	True
checkv-regression-truth	checkv-upstream-ground-truth-quality-summary.tsv	5518	5518	f0d692ab02446bca007722b0f97a928b4cc893c94bcd311e151196bb9afa5a76	f0d692ab02446bca007722b0f97a928b4cc893c94bcd311e151196bb9afa5a76	True
