Tool	Version	SourceCommit	Database
geNomad	1.12.0	8c5fd0d1722d458a3e8ff50278cdc00ed4a514fc	geNomad v1.9; ICTV MSL39
VirSorter2	2.2.4	d96ba672442090ebc943ec3ceb87fe4cfdaaaa0b	Zenodo 4269607 v0.4
CheckV	1.1.1	6a118f20e895105ce0e4f10257955494c60f1293	v1.5; release date 2023-01-10
BLASTN / anicalc / aniclust	BLAST 2.17.0 / CheckV 1.1.1	CheckV commit above	all-vs-all input FASTA
