Tool	Version	Role
GTDB-Tk	gtdbtk: version 2.7.2 Copyright 2017 Pierre-Alain Chaumeil, Aaron Mussig and Donovan Parks	taxonomy workflow
Prodigal	Prodigal V2.6.3: February, 2016	gene prediction
pplacer	v1.1.alpha19-0-g807f6f3	marker-tree placement
skani	skani 0.3.2	ANI screening and classification
