Figure	Status	Detail
35-read-to-gene-ledger	PASS	3639x1606; colors=620; pdf=25573; tiff=590118; dpi=(350.0, 350.0); compression=tiff_lzw
35-mapping-policy-sensitivity	PASS	3233x1989; colors=1093; pdf=26129; tiff=451082; dpi=(350.0, 350.0); compression=tiff_lzw
35-unit-normalization-audit	PASS	4099x1892; colors=1423; pdf=26134; tiff=841130; dpi=(350.0, 350.0); compression=tiff_lzw
35-functional-aggregation	PASS	4582x1717; colors=976; pdf=26438; tiff=725298; dpi=(350.0, 350.0); compression=tiff_lzw
