Tool	Version	Executable
CheckM2	1.1.0	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/checkm2
GUNC	1.1.0	${HOME}/miniconda3/envs/metagenome-gunc-2026.07/bin/gunc
CheckM1	1.2.5	${HOME}/miniconda3/envs/metagenome-checkm1-2026.07/bin/checkm
barrnap	1.10.5	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap
tRNAscan-SE	2.0.13	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE
Prodigal	2.6.3	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal
MEGAHIT toolkit	1.2.9	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/megahit_toolkit
