Tool	ToolVersion	Database	Reference	Path	Bytes	MD5	SHA256	Integrity
CheckM2	1.1.0	DIAMOND database version 3	Zenodo 14897628	${HOME}/databases/metagenome-mag-qc/checkm2-v1.1.0/CheckM2_database/uniref100.KO.1.dmnd	3082500605	4db58455c51ff15804b6b8e19ff99f58	1b86ef3eac0813c1853f53182c17657045e3763d66f384ec95747261a63ae46f	PASS
GUNC	1.1.0	ProGenomes 2.1	GUNC official download_db endpoint	${HOME}/databases/metagenome-mag-qc/gunc-progenomes2.1/gunc_db_progenomes2.1.dmnd	13520342381	447c9330056b02f29f30fe81fe4af4eb	2dabe83f2ab7f0b38e78cfdbd8ca33bdc578b330d7501cb42457d331bc8c09d4	PASS (upstream MD5 checked during download)
CheckM1	1.2.5	CheckM reference data 2015-01-16	CheckM post-link installer	${HOME}/miniconda3/envs/metagenome-checkm1-2026.07/checkm_data/.dmanifest	7270	3975f1a8d5ad9caf7683935eea546b62	1c8b4357710be2f70a3c942ae4a1ecfa20de5608aa6a7299e0d08c05eb88f223	PASS (.dmanifest retained)
