Output	ImmediateInput	Transformation	TruthUsed	Evidence
Article 48 species catalog	24 Article 45 95%-ANI representatives	decompress checksum-covered FASTA and assign SGB_001..SGB_024	No	genome-ledger.tsv
Article 48 read inputs	ERR9765746 and ERR9765747 clean fixed subsets	SHA-256 verification only	No	samples.tsv
