Label	ExitStatus	Command	Stdout	Stderr	TimeLog
coverm-identity95	0	conda run -n metagenome-assembly-2026.07 coverm genome --coupled ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765746_clean_R1.fastq.gz ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765746_clean_R2.fastq.gz ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765747_clean_R1.fastq.gz ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765747_clean_R2.fastq.gz --genome-fasta-directory ${ARTICLE48_WORK_DIR}/inputs/genomes --genome-fasta-extension fna --mapper strobealign --min-read-percent-identity 95 --min-read-aligned-percent 75 --proper-pairs-only --exclude-supplementary --min-covered-fraction 0 --contig-end-exclusion 75 --trim-min 5 --trim-max 95 --methods mean trimmed_mean covered_fraction relative_abundance count anir length --output-format sparse --cache-unfiltered-bam-directory ${ARTICLE48_WORK_DIR}/bam/identity95 --threads 24 --output-file ${ARTICLE48_WORK_DIR}/raw/coverm-identity95.tsv	${ARTICLE48_WORK_DIR}/logs/coverm-identity95.stdout.log	${ARTICLE48_WORK_DIR}/logs/coverm-identity95.stderr.log	${ARTICLE48_WORK_DIR}/logs/coverm-identity95.time.txt
coverm-identity97	0	conda run -n metagenome-assembly-2026.07 coverm genome --coupled ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765746_clean_R1.fastq.gz ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765746_clean_R2.fastq.gz ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765747_clean_R1.fastq.gz ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765747_clean_R2.fastq.gz --genome-fasta-directory ${ARTICLE48_WORK_DIR}/inputs/genomes --genome-fasta-extension fna --mapper strobealign --min-read-percent-identity 97 --min-read-aligned-percent 75 --proper-pairs-only --exclude-supplementary --min-covered-fraction 0 --contig-end-exclusion 75 --trim-min 5 --trim-max 95 --methods mean trimmed_mean covered_fraction relative_abundance count anir length --output-format sparse --cache-unfiltered-bam-directory ${ARTICLE48_WORK_DIR}/bam/identity97 --threads 24 --output-file ${ARTICLE48_WORK_DIR}/raw/coverm-identity97.tsv	${ARTICLE48_WORK_DIR}/logs/coverm-identity97.stdout.log	${ARTICLE48_WORK_DIR}/logs/coverm-identity97.stderr.log	${ARTICLE48_WORK_DIR}/logs/coverm-identity97.time.txt
