Label	WallSeconds	PeakRAMGiB	ExitStatus	Command	MeasurementStatus
coverm-identity95	39.1	1.413	0	conda run -n metagenome-assembly-2026.07 coverm genome --coupled /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R1.fastq.gz /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R2.fastq.gz /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R1.fastq.gz /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R2.fastq.gz --genome-fasta-directory /workspace/wechat/Metagenome/work/article48/inputs/genomes --genome-fasta-extension fna --mapper strobealign --min-read-percent-identity 95 --min-read-aligned-percent 75 --proper-pairs-only --exclude-supplementary --min-covered-fraction 0 --contig-end-exclusion 75 --trim-min 5 --trim-max 95 --methods mean trimmed_mean covered_fraction relative_abundance count anir length --output-format sparse --cache-unfiltered-bam-directory /workspace/wechat/Metagenome/work/article48/bam/identity95 --threads 24 --output-file /workspace/wechat/Metagenome/work/article48/raw/coverm-identity95.tsv	GNU time exact
coverm-identity97	41.67	1.401	0	conda run -n metagenome-assembly-2026.07 coverm genome --coupled /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R1.fastq.gz /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R2.fastq.gz /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R1.fastq.gz /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R2.fastq.gz --genome-fasta-directory /workspace/wechat/Metagenome/work/article48/inputs/genomes --genome-fasta-extension fna --mapper strobealign --min-read-percent-identity 97 --min-read-aligned-percent 75 --proper-pairs-only --exclude-supplementary --min-covered-fraction 0 --contig-end-exclusion 75 --trim-min 5 --trim-max 95 --methods mean trimmed_mean covered_fraction relative_abundance count anir length --output-format sparse --cache-unfiltered-bam-directory /workspace/wechat/Metagenome/work/article48/bam/identity97 --threads 24 --output-file /workspace/wechat/Metagenome/work/article48/raw/coverm-identity97.tsv	GNU time exact
