Sample	RunAccession	ReadPairs	R1	R2	R1SHA256	R2SHA256	Source
MOCK1	ERR9765746	1999853	/workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R1.fastq.gz	/workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R2.fastq.gz	d917a7241a29e2151bd1e2928994acd34b309d29ede5d6bd90933c8f31717148	d224c825299ebdcc903b3e4665fbe13efada5e2855b18750a9cbc2ef661735ae	PRJEB52977 clean fixed subset from Article 30
MOCK2	ERR9765747	1999888	/workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R1.fastq.gz	/workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R2.fastq.gz	a1908f80858cc44f19ba50a786c6c81fe85106de1073d02f4eaa1ed961379cd1	6e945df7b952a849bf6b23e49afe175db8bca9bb07995bf596b37344abbc062d	PRJEB52977 clean fixed subset from Article 30
