Branch	ReadIdentityThresholdPct	Sample	RunAccession	CatalogRelativeAbundancePct	UnmappedPct	CompositionSumPct	AssignedReadCount	DetectedSGBsBreadth50Depth1	HighBreadthSGBs	MedianMeanDepth	MedianCoveredFractionPct
Primary 95% identity	95	MOCK1	ERR9765746	70.1154315	29.884571	100.0000025	2804411	24	22	4.89948965	98.877185
Primary 95% identity	95	MOCK2	ERR9765747	69.86899505	30.131012	100.00000705	2794603	24	21	4.83206435	98.862025
Strict 97% identity	97	MOCK1	ERR9765746	68.26676476	31.733232	99.99999676	2730470	24	21	4.79313035	98.758695
Strict 97% identity	97	MOCK2	ERR9765747	67.78282874	32.217182	100.00001074	2711161	24	20	4.693175999999999	98.72247
