saponin_pct	treatment_label	sequenced_reads	high_quality_reads	nonhuman_reads	host_filtered_pct	gram_positive_pct	gram_negative_pct	source_location	host_reduction_percentage_points	gram_negative_retention_vs_untreated_pct	observed_nonhuman_fraction_pct
0	Untreated	38545	37556	17595	53.15	17.25	82.75	Main Table 2 and Supplementary Table 6	0	100	46.8500372776654
0.0125	0.0125%	51453	48877	31094	36.38	57.75	42.25	Main Table 2 and Supplementary Table 6	16.77	51.0574018126888	63.6168340937455
0.05	0.05%	34712	33795	31860	5.73	59.75	40.25	Main Table 2 and Supplementary Table 6	47.42	48.6404833836858	94.2743009320905
0.1	0.1%	41873	40807	39754	2.58	63.05	36.95	Main Table 2 and Supplementary Table 6	50.57	44.6525679758308	97.4195603695444
0.5	0.5%	13420	13056	12774	2.16	65.02	34.98	Main Table 2 and Supplementary Table 6	50.99	42.2719033232628	97.8400735294118
1.5	1.5%	34688	33633	32716	2.73	77.6	22.4	Main Table 2 and Supplementary Table 6	50.42	27.0694864048338	97.2735111348973
2	2%	37528	36418	35249	3.21	75.75	24.25	Main Table 2 and Supplementary Table 6	49.94	29.3051359516616	96.790048876929
